world,policy,delay,t_irrev,R,target_mi,mi_tolerance,diversity_floor,channel_noise,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,irreversible_zone_failures_mean,time_to_first_irreversible_failure_mean,fraction_irreversible_zones_mean,mean_welfare,adversarial_share,total_diversity,non_adv_diversity,adv_diversity,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
FIXED_MI_DELAY,local_global_neighbor,2,8,4.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.133333333333333,0.2222222222222222,0.773065630093117,0.4941448863161311,0.23057880688256052,0.31062150340070155,0.5737086230453093,1.0,1.0,0.41663661467842605,0.12919473805654275
FIXED_MI_DELAY,response_to_neighbor_aid,2,8,4.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.0,0.2222222222222222,0.774377050802197,0.46218261243323705,0.2296725972840173,0.3131956483867635,0.5749001461212274,1.0,1.0,0.41726369023748017,0.1295515392488501
FIXED_MI_DELAY,neighbor_consequence,4,8,2.0,0.13,0.029999999999999995,0.0,0.27,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,14.2,0.2222222222222222,0.7757800116797381,0.2930398993096273,0.23027179594685102,0.32976577242512767,0.5844971284955025,1.0,1.0,0.37640964865595833,0.10691837857716771
FIXED_MI_DELAY,local_global_neighbor,4,8,2.0,0.13,0.029999999999999995,0.0,0.27,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.833333333333334,0.2222222222222222,0.7720095741690113,0.4915939297198586,0.2305047599095603,0.31081750042338313,0.5737964014724866,1.0,1.0,0.3799397179530294,0.10848889935406182
FIXED_MI_DELAY,response_to_neighbor_aid,4,8,2.0,0.13,0.029999999999999995,0.0,0.27,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.0,0.2222222222222222,0.7737798640674621,0.46522367470236275,0.2298194325037952,0.31276689353588505,0.5747712747889689,1.0,1.0,0.3810305721808246,0.10906654926122637
FIXED_MI_DELAY,neighbor_consequence,7,8,1.1428571428571428,0.13,0.029999999999999995,0.0,0.23,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,16.0,0.2222222222222222,0.7766064490098333,0.2705526787474322,0.23106646376532866,0.33289648618906786,0.586487333249485,1.0,1.0,0.44162723687608435,0.1449181563579901
FIXED_MI_DELAY,local_global_neighbor,7,8,1.1428571428571428,0.13,0.029999999999999995,0.0,0.23,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.933333333333334,0.2222222222222222,0.7719715112719286,0.4830085006790753,0.23058270067314054,0.31110657549737064,0.574138809546956,1.0,1.0,0.44995687906232196,0.14934353267957898
FIXED_MI_DELAY,response_to_neighbor_aid,7,8,1.1428571428571428,0.13,0.029999999999999995,0.0,0.23,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.1,0.2222222222222222,0.772331138717455,0.46440332567445364,0.23001809162465092,0.3126436333353314,0.5748373298478994,1.0,1.0,0.4514205505856967,0.1502865899827154
FIXED_MI_DELAY,neighbor_consequence,10,8,0.8,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,17.0,0.2222222222222222,0.7761874720237983,0.26870537453439114,0.23157709563442663,0.3324167767775197,0.5867280706339539,1.0,1.0,0.40520383560872447,0.12353157931439003
FIXED_MI_DELAY,local_global_neighbor,10,8,0.8,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.933333333333334,0.2222222222222222,0.7714983157861742,0.467021849188777,0.23070022587231756,0.3118487744442271,0.5747922639497188,1.0,1.0,0.4159444896956549,0.12872431467484663
FIXED_MI_DELAY,response_to_neighbor_aid,10,8,0.8,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.1,0.2222222222222222,0.7737189239896008,0.461476918499878,0.23025717305244608,0.31257576030475537,0.5749737209951343,1.0,1.0,0.4174770682754473,0.12958722100547232
