seed,world,policy,delay,t_irrev,R,target_mi,mi_tolerance,adversarial_strength,catastrophe_severity,diversity_floor,channel_noise,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
9204,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780088152999,0.0,0.07388069138055434,0.8770590288727189,0.2911820519815238,0.48666827540373536,0.6901169030035051,4,6,0.4444444444444444,1.0,1.0,0.9774404040315523,0.8988420621226377
9205,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779690263293,0.0,0.07390211743934778,0.8770242236372274,0.29120609767622746,0.48670104239417117,0.6901161097872383,4,6,0.4444444444444444,1.0,1.0,0.9771411448633394,0.9358654903155473
9206,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779924439138,0.0,0.07389573126380382,0.8770346862264579,0.29119728232921116,0.48668920247141145,0.6901162242417298,4,6,0.4444444444444444,1.0,1.0,0.9768790899063329,0.9310415499988801
9207,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779743652497,0.0,0.07388330653358538,0.8770549145833122,0.29118760152539647,0.48667585835295374,0.6901165703426744,4,6,0.4444444444444444,1.0,1.0,0.9783041609324269,0.9358654903155473
9208,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779743517983,0.0,0.07389247594319998,0.8770400021653021,0.291197789581901,0.4866897444708328,0.6901162355203174,4,6,0.4444444444444444,1.0,1.0,0.9783694897832977,0.8896281114491849
9209,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780009132086,0.0,0.07388838134144599,0.8770465663914625,0.2911914289959256,0.48668106842307984,0.6901165421030334,4,6,0.4444444444444444,1.0,1.0,0.9797256932167642,0.9238265161146231
9210,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780070752884,0.0,0.0738681292733599,0.8770795289135448,0.29116912251342153,0.48665066437013,0.690117240541881,4,6,0.4444444444444444,1.0,1.0,0.9773444442470487,0.9084264491492303
9211,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780049176876,0.0,0.07388321856985547,0.8770550371658397,0.29118540944546284,0.48667295551513096,0.6901166244761588,4,6,0.4444444444444444,1.0,1.0,0.9789733337125166,0.89154530570508
9212,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779994650823,0.0,0.07387669849350761,0.8770655846907678,0.29117672646391574,0.48666110300090487,0.6901169868135149,4,6,0.4444444444444444,1.0,1.0,0.9770929368373289,0.9320231646776526
9213,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.562777967310703,0.0,0.07388555686173097,0.8770511554066662,0.2911880076508872,0.4866764033826323,0.6901166819263109,4,6,0.4444444444444444,1.0,1.0,0.9773465344996751,0.9131333498812902
