gamma,p,C,kappa,audit_on,n,successes,permanence_rate,wilson_lo,wilson_hi,mean_final_corr,mean_corr,mean_adversary_concealment,mean_final_adversary_concealment,mean_adversary_fitness,adversary_extinction_rate,mean_adversary_share,mean_caught_events,mean_false_positive_events,mean_steps_run
0.3,0.5,0.5,0.1,True,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.06506408788420413,0.040397856011896674,1.0101327568758878,1.0,0.04725676412544545,0.0,0.0,16.9
0.3,0.5,0.5,0.3,True,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.07130948636717944,0.055073922519145065,0.9666528485817927,1.0,0.04782958745016111,0.0,0.16666666666666666,18.6
0.3,0.5,1.0,0.0,True,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.08488486729926346,0.057449675279764106,1.0106277261546948,1.0,0.04577995189202532,0.0,0.0,16.433333333333334
0.3,0.5,1.0,0.1,True,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.06506408788420413,0.040397856011896674,1.0101327568758878,1.0,0.04725676412544545,0.0,0.0,16.9
0.3,0.5,1.0,0.3,True,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.09962357985642226,0.0819233695437414,0.9256782129526642,0.9333333333333333,0.10875008798980253,0.0,0.16666666666666666,16.033333333333335
0.6,0.0,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.014003129458625347,0.006631063764321047,0.9646792086986602,1.0,0.036138814587085934,0.0,0.0,12.333333333333334
0.6,0.0,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.014003129458625347,0.006631063764321047,0.9646792086986602,1.0,0.036138814587085934,0.0,0.0,12.333333333333334
0.6,0.0,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.014003129458625347,0.006631063764321047,0.9646792086986602,1.0,0.036138814587085934,0.0,0.0,12.333333333333334
0.6,0.0,0.5,0.0,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.014003129458625347,0.006631063764321047,0.9646792086986602,1.0,0.036138814587085934,0.0,0.0,12.333333333333334
0.6,0.0,0.5,0.1,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.014003129458625347,0.006631063764321047,0.9646792086986602,1.0,0.036138814587085934,0.0,0.0,12.333333333333334
