mode,seed,split,setting,R,gamma,p,C,kappa,true_permanence_hold,failure,final_corr_sa,mean_corr_sa,mean_adversary_concealment,final_adversary_concealment,mean_adversary_fitness,adversary_extinct,mean_adversary_share,caught_events,false_positive_events,steps_run
passive_control,4117,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.45,0.0,0.0,1.1266809276183973,0,0.21087438906645659,0,0,120
passive_control,4118,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.23333333333333334,0.0,0.0,1.1274892292382588,0,0.14071792965021596,0,0,120
passive_control,4119,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,1.0,-0.5,0.0,0.0,1.1275602375797988,0,0.19492925266226882,0,0,120
passive_control,4120,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,1.0,0.4666666666666667,0.0,0.0,1.1225658232789235,0,0.191785518162305,0,0,120
passive_control,4121,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,0.55,0.0,0.0,1.1290896410652342,0,0.2021438208783858,0,0,120
passive_control,4122,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.18333333333333332,0.0,0.0,1.1273996274523734,0,0.14592676435120683,0,0,120
passive_control,4123,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,0.05,0.0,0.0,1.1249557221323674,0,0.35124330281337984,0,0,120
passive_control,4124,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,-0.45,0.0,0.0,1.1283981149286633,0,0.16035057035529135,0,0,120
passive_control,4125,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.38333333333333336,0.0,0.0,1.1281502154103213,0,0.12759458896045112,0,0,120
passive_control,4126,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.7333333333333333,0.0,0.0,1.1279720668854052,0,0.26007916421550925,0,0,120
passive_control,4127,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,-0.45,0.0,0.0,1.1208611836214226,0,0.3263715694804325,0,0,120
passive_control,4128,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.5166666666666667,0.0,0.0,1.1212331974000231,0,0.37185212187548294,0,0,120
passive_control,4129,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,1.0,-0.55,0.0,0.0,1.1287228197482697,0,0.20613143904773085,0,0,120
passive_control,4100,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,0.9999999999999999,-0.26666666666666666,0.0,0.0,1.1304286244495643,0,0.21322019612634968,0,0,120
passive_control,4101,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-0.9999999999999998,-0.06666666666666667,0.0,0.0,1.1278168067833183,0,0.20823386721349874,0,0,120
passive_control,4102,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,-0.5333333333333333,0.0,0.0,1.1277800534028668,0,0.2075638144402246,0,0,120
passive_control,4103,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,-1.0,-0.13274336283185842,0.0,0.0,1.1242066236479495,1,0.07544480856556347,0,0,113
passive_control,4104,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,-0.25,0.0,0.0,1.1316164497086778,0,0.16916484761028636,0,0,120
passive_control,4105,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,-1.0,0.03333333333333333,0.0,0.0,1.1274700416320613,0,0.28876695062325985,0,0,120
passive_control,4106,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,1.0,0.08333333333333333,0.0,0.0,1.130112072369765,0,0.21405583519257246,0,0,120
passive_control,4107,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,0.55,0.0,0.0,1.1244352740526844,0,0.23385752959207043,0,0,120
passive_control,4108,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,1.0,0.5166666666666667,0.0,0.0,1.1277580711370376,0,0.12048272082455444,0,0,120
passive_control,4109,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,1.0,0.6071428571428571,0.0,0.0,1.1113080382791065,1,0.07082798538960111,0,0,56
passive_control,4110,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,-0.36666666666666664,0.0,0.0,1.1265806330806314,0,0.2711677153532387,0,0,120
passive_control,4111,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,1.0,0.8823529411764706,0.0,0.0,1.119764395463897,1,0.06274958844356815,0,0,102
passive_control,4112,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,-1.0,0.18333333333333332,0.0,0.0,1.1264902661548792,0,0.18417210493479869,0,0,120
passive_control,4113,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,0.9999999999999998,0.4166666666666667,0.0,0.0,1.131552968461581,0,0.2134625313491955,0,0,120
passive_control,4114,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.24999999999999994,0.0,0.0,1.1307577285980268,0,0.2355349418931009,0,0,120
passive_control,4115,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,0.13333333333333333,0.0,0.0,1.128104273690058,0,0.262257288485433,0,0,120
passive_control,4116,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,-0.35,0.0,0.0,1.1275364316082503,0,0.22214652042405078,0,0,120
passive_control,4117,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,-0.5,0.0,0.0,1.1306407625375925,0,0.26917491488946105,0,0,120
passive_control,4118,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,1.0,0.5833333333333334,0.0,0.0,1.131075883638537,0,0.20256490046984554,0,0,120
passive_control,4119,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,-0.8166666666666667,0.0,0.0,1.1281251844430575,0,0.2130656684596402,0,0,120
passive_control,4120,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,0.43333333333333335,0.0,0.0,1.1261137034258886,0,0.34813140245436264,0,0,120
passive_control,4121,heldout,r06,1.2,0.0,0.0,0.0,0.0,0,1,1.0,0.7333333333333333,0.0,0.0,1.128071406745242,0,0.09388783501372662,0,0,120
passive_control,4122,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,-0.13333333333333333,0.0,0.0,1.1283969058330632,0,0.16821318371747299,0,0,120
passive_control,4123,heldout,r06,1.2,0.0,0.0,0.0,0.0,1,0,-1.0,0.016666666666666663,0.0,0.0,1.1277931070198193,0,0.25483337829798286,0,0,120
