class_id,k,persistence,class_size,analyzed
491ca705673fd562,4,,228,False
8959232792ca88b1,0,,228,False
8959232792ca88b1,1,,228,False
8959232792ca88b1,2,,228,False
8959232792ca88b1,3,,228,False
8959232792ca88b1,4,,228,False
d53de0fdf9ed6571,0,,227,False
d53de0fdf9ed6571,1,,227,False
d53de0fdf9ed6571,2,,227,False
d53de0fdf9ed6571,3,,227,False
d53de0fdf9ed6571,4,,227,False
fdb58ef9a852cbdf,0,,227,False
fdb58ef9a852cbdf,1,,227,False
fdb58ef9a852cbdf,2,,227,False
fdb58ef9a852cbdf,3,,227,False
fdb58ef9a852cbdf,4,,227,False
3eda75dd3fd8193e,0,,226,False
3eda75dd3fd8193e,1,,226,False
3eda75dd3fd8193e,2,,226,False
3eda75dd3fd8193e,3,,226,False
3eda75dd3fd8193e,4,,226,False
6ebac04a743cc80e,0,,226,False
6ebac04a743cc80e,1,,226,False
6ebac04a743cc80e,2,,226,False
6ebac04a743cc80e,3,,226,False
6ebac04a743cc80e,4,,226,False
d92bdf13def8dec0,0,,226,False
d92bdf13def8dec0,1,,226,False
d92bdf13def8dec0,2,,226,False
d92bdf13def8dec0,3,,226,False
d92bdf13def8dec0,4,,226,False
e0b81fb890105b24,0,,226,False
e0b81fb890105b24,1,,226,False
e0b81fb890105b24,2,,226,False
e0b81fb890105b24,3,,226,False
e0b81fb890105b24,4,,226,False
62a1047c5866c2f9,0,,224,False
62a1047c5866c2f9,1,,224,False
62a1047c5866c2f9,2,,224,False
62a1047c5866c2f9,3,,224,False
62a1047c5866c2f9,4,,224,False
6b74b81c77ab30a8,0,,224,False
6b74b81c77ab30a8,1,,224,False
6b74b81c77ab30a8,2,,224,False
6b74b81c77ab30a8,3,,224,False
6b74b81c77ab30a8,4,,224,False
85f86af669d48f90,0,,224,False
85f86af669d48f90,1,,224,False
85f86af669d48f90,2,,224,False
85f86af669d48f90,3,,224,False
85f86af669d48f90,4,,224,False
9255006dc40fdc78,0,,224,False
9255006dc40fdc78,1,,224,False
9255006dc40fdc78,2,,224,False
9255006dc40fdc78,3,,224,False
9255006dc40fdc78,4,,224,False
a91cd87936d8548d,0,,223,False
a91cd87936d8548d,1,,223,False
a91cd87936d8548d,2,,223,False
a91cd87936d8548d,3,,223,False
a91cd87936d8548d,4,,223,False
d622539aadbdefcc,0,,223,False
d622539aadbdefcc,1,,223,False
d622539aadbdefcc,2,,223,False
d622539aadbdefcc,3,,223,False
d622539aadbdefcc,4,,223,False
ac3d178dae40cba0,0,,220,False
ac3d178dae40cba0,1,,220,False
ac3d178dae40cba0,2,,220,False
ac3d178dae40cba0,3,,220,False
ac3d178dae40cba0,4,,220,False
57fa86a7b4840e85,0,,217,False
57fa86a7b4840e85,1,,217,False
57fa86a7b4840e85,2,,217,False
57fa86a7b4840e85,3,,217,False
57fa86a7b4840e85,4,,217,False
5e5220eb2a7fab00,0,,217,False
5e5220eb2a7fab00,1,,217,False
5e5220eb2a7fab00,2,,217,False
5e5220eb2a7fab00,3,,217,False
5e5220eb2a7fab00,4,,217,False
d201c023f52bc1c3,0,,217,False
d201c023f52bc1c3,1,,217,False
d201c023f52bc1c3,2,,217,False
d201c023f52bc1c3,3,,217,False
d201c023f52bc1c3,4,,217,False
5ea08d3f215b4b00,0,,216,False
5ea08d3f215b4b00,1,,216,False
5ea08d3f215b4b00,2,,216,False
5ea08d3f215b4b00,3,,216,False
5ea08d3f215b4b00,4,,216,False
90cefc9b766e431f,0,,216,False
90cefc9b766e431f,1,,216,False
90cefc9b766e431f,2,,216,False
90cefc9b766e431f,3,,216,False
90cefc9b766e431f,4,,216,False
a74053cd9fbcdf58,0,,216,False
a74053cd9fbcdf58,1,,216,False
a74053cd9fbcdf58,2,,216,False
a74053cd9fbcdf58,3,,216,False
a74053cd9fbcdf58,4,,216,False
1459edfd8986a239,0,,215,False
1459edfd8986a239,1,,215,False
1459edfd8986a239,2,,215,False
1459edfd8986a239,3,,215,False
1459edfd8986a239,4,,215,False
3dbce805a0b141a8,0,,215,False
3dbce805a0b141a8,1,,215,False
3dbce805a0b141a8,2,,215,False
3dbce805a0b141a8,3,,215,False
3dbce805a0b141a8,4,,215,False
54905406f96b37ba,0,,215,False
54905406f96b37ba,1,,215,False
54905406f96b37ba,2,,215,False
54905406f96b37ba,3,,215,False
54905406f96b37ba,4,,215,False
952059cd0404cb5f,0,,215,False
952059cd0404cb5f,1,,215,False
952059cd0404cb5f,2,,215,False
952059cd0404cb5f,3,,215,False
952059cd0404cb5f,4,,215,False
cb760f4a09447a8f,0,,215,False
cb760f4a09447a8f,1,,215,False
cb760f4a09447a8f,2,,215,False
cb760f4a09447a8f,3,,215,False
cb760f4a09447a8f,4,,215,False
b3993b8e57f8a169,0,,214,False
b3993b8e57f8a169,1,,214,False
b3993b8e57f8a169,2,,214,False
b3993b8e57f8a169,3,,214,False
b3993b8e57f8a169,4,,214,False
3e1359b0723bcff4,0,,213,False
3e1359b0723bcff4,1,,213,False
3e1359b0723bcff4,2,,213,False
3e1359b0723bcff4,3,,213,False
3e1359b0723bcff4,4,,213,False
deb58f5ea5753fb1,0,,213,False
deb58f5ea5753fb1,1,,213,False
deb58f5ea5753fb1,2,,213,False
deb58f5ea5753fb1,3,,213,False
deb58f5ea5753fb1,4,,213,False
1d67abcf23151a94,0,,212,False
1d67abcf23151a94,1,,212,False
1d67abcf23151a94,2,,212,False
1d67abcf23151a94,3,,212,False
1d67abcf23151a94,4,,212,False
23d692927ea19a6c,0,,212,False
23d692927ea19a6c,1,,212,False
23d692927ea19a6c,2,,212,False
23d692927ea19a6c,3,,212,False
23d692927ea19a6c,4,,212,False
3cdaebde575c5b37,0,,212,False
3cdaebde575c5b37,1,,212,False
3cdaebde575c5b37,2,,212,False
3cdaebde575c5b37,3,,212,False
3cdaebde575c5b37,4,,212,False
6820c5d670a6d1b8,0,,212,False
6820c5d670a6d1b8,1,,212,False
6820c5d670a6d1b8,2,,212,False
6820c5d670a6d1b8,3,,212,False
6820c5d670a6d1b8,4,,212,False
ee1b864a704f7369,0,,211,False
ee1b864a704f7369,1,,211,False
ee1b864a704f7369,2,,211,False
ee1b864a704f7369,3,,211,False
ee1b864a704f7369,4,,211,False
50435e826defda84,0,,209,False
50435e826defda84,1,,209,False
50435e826defda84,2,,209,False
50435e826defda84,3,,209,False
50435e826defda84,4,,209,False
ea9ccc8c09fa75d7,0,,207,False
ea9ccc8c09fa75d7,1,,207,False
ea9ccc8c09fa75d7,2,,207,False
ea9ccc8c09fa75d7,3,,207,False
ea9ccc8c09fa75d7,4,,207,False
cb94e7d7e1f7d083,0,,206,False
cb94e7d7e1f7d083,1,,206,False
cb94e7d7e1f7d083,2,,206,False
cb94e7d7e1f7d083,3,,206,False
cb94e7d7e1f7d083,4,,206,False
5a84018b7ada0f76,0,,205,False
5a84018b7ada0f76,1,,205,False
5a84018b7ada0f76,2,,205,False
5a84018b7ada0f76,3,,205,False
5a84018b7ada0f76,4,,205,False
5af5480f52cf5615,0,,204,False
5af5480f52cf5615,1,,204,False
5af5480f52cf5615,2,,204,False
5af5480f52cf5615,3,,204,False
5af5480f52cf5615,4,,204,False
3d44c118bbff65e9,0,,203,False
3d44c118bbff65e9,1,,203,False
3d44c118bbff65e9,2,,203,False
3d44c118bbff65e9,3,,203,False
3d44c118bbff65e9,4,,203,False
bd14af00f41da381,0,,203,False
bd14af00f41da381,1,,203,False
bd14af00f41da381,2,,203,False
bd14af00f41da381,3,,203,False
bd14af00f41da381,4,,203,False
4453fc0896b211ea,0,,202,False
4453fc0896b211ea,1,,202,False
4453fc0896b211ea,2,,202,False
4453fc0896b211ea,3,,202,False
4453fc0896b211ea,4,,202,False
b49119c13665cce9,0,,202,False
b49119c13665cce9,1,,202,False
b49119c13665cce9,2,,202,False
b49119c13665cce9,3,,202,False
b49119c13665cce9,4,,202,False
3e20939de73aa357,0,,201,False
3e20939de73aa357,1,,201,False
3e20939de73aa357,2,,201,False
3e20939de73aa357,3,,201,False
3e20939de73aa357,4,,201,False
02045ee32d053013,0,,197,False
02045ee32d053013,1,,197,False
02045ee32d053013,2,,197,False
02045ee32d053013,3,,197,False
02045ee32d053013,4,,197,False
b480fbcf99aa331c,0,1.0,197,True
b480fbcf99aa331c,1,1.0,197,True
b480fbcf99aa331c,2,1.0,197,True
b480fbcf99aa331c,3,1.0,197,True
b480fbcf99aa331c,4,1.0,197,True
3106fdec81eb7cf2,0,,196,False
3106fdec81eb7cf2,1,,196,False
3106fdec81eb7cf2,2,,196,False
3106fdec81eb7cf2,3,,196,False
3106fdec81eb7cf2,4,,196,False
a11c2863198aa93b,0,,195,False
a11c2863198aa93b,1,,195,False
a11c2863198aa93b,2,,195,False
a11c2863198aa93b,3,,195,False
a11c2863198aa93b,4,,195,False
cb7d67388749b3b5,0,,195,False
cb7d67388749b3b5,1,,195,False
cb7d67388749b3b5,2,,195,False
cb7d67388749b3b5,3,,195,False
cb7d67388749b3b5,4,,195,False
e9fa4024f8762230,0,,195,False
e9fa4024f8762230,1,,195,False
e9fa4024f8762230,2,,195,False
e9fa4024f8762230,3,,195,False
e9fa4024f8762230,4,,195,False
2b7f0d4e6e6eae6e,0,1.0,194,True
2b7f0d4e6e6eae6e,1,1.0,194,True
2b7f0d4e6e6eae6e,2,1.0,194,True
2b7f0d4e6e6eae6e,3,1.0,194,True
2b7f0d4e6e6eae6e,4,1.0,194,True
4c081c59a3909c3f,0,1.0,194,True
4c081c59a3909c3f,1,1.0,194,True
4c081c59a3909c3f,2,1.0,194,True
4c081c59a3909c3f,3,1.0,194,True
4c081c59a3909c3f,4,1.0,194,True
9ef5790eada8a129,0,,194,False
9ef5790eada8a129,1,,194,False
9ef5790eada8a129,2,,194,False
9ef5790eada8a129,3,,194,False
9ef5790eada8a129,4,,194,False
4b5d05947b62026f,0,,193,False
4b5d05947b62026f,1,,193,False
4b5d05947b62026f,2,,193,False
4b5d05947b62026f,3,,193,False
4b5d05947b62026f,4,,193,False
2b69a96860905434,0,1.0,192,True
2b69a96860905434,1,1.0,192,True
2b69a96860905434,2,1.0,192,True
2b69a96860905434,3,1.0,192,True
2b69a96860905434,4,1.0,192,True
87c14dd4a70303a3,0,,192,False
87c14dd4a70303a3,1,,192,False
87c14dd4a70303a3,2,,192,False
87c14dd4a70303a3,3,,192,False
87c14dd4a70303a3,4,,192,False
87e639f5c9ed4c90,0,,190,False
87e639f5c9ed4c90,1,,190,False
87e639f5c9ed4c90,2,,190,False
87e639f5c9ed4c90,3,,190,False
87e639f5c9ed4c90,4,,190,False
885e0775dbe82fcc,0,,190,False
885e0775dbe82fcc,1,,190,False
885e0775dbe82fcc,2,,190,False
885e0775dbe82fcc,3,,190,False
885e0775dbe82fcc,4,,190,False
4499febacc3f222f,0,,189,False
4499febacc3f222f,1,,189,False
4499febacc3f222f,2,,189,False
4499febacc3f222f,3,,189,False
4499febacc3f222f,4,,189,False
54ef6082de2ef264,0,,189,False
54ef6082de2ef264,1,,189,False
54ef6082de2ef264,2,,189,False
54ef6082de2ef264,3,,189,False
54ef6082de2ef264,4,,189,False
65d48fb1aa39b3e1,0,1.0,189,True
65d48fb1aa39b3e1,1,1.0,189,True
65d48fb1aa39b3e1,2,1.0,189,True
65d48fb1aa39b3e1,3,1.0,189,True
65d48fb1aa39b3e1,4,1.0,189,True
05894539fcdf4840,0,1.0,188,True
05894539fcdf4840,1,1.0,188,True
05894539fcdf4840,2,1.0,188,True
05894539fcdf4840,3,1.0,188,True
05894539fcdf4840,4,1.0,188,True
9b800db4670e2be1,0,,187,False
9b800db4670e2be1,1,,187,False
9b800db4670e2be1,2,,187,False
9b800db4670e2be1,3,,187,False
9b800db4670e2be1,4,,187,False
fcadfa2dbea901bf,0,1.0,187,True
fcadfa2dbea901bf,1,1.0,187,True
fcadfa2dbea901bf,2,1.0,187,True
fcadfa2dbea901bf,3,1.0,187,True
fcadfa2dbea901bf,4,1.0,187,True
a16e3db210295541,0,1.0,186,True
a16e3db210295541,1,1.0,186,True
a16e3db210295541,2,1.0,186,True
a16e3db210295541,3,1.0,186,True
a16e3db210295541,4,1.0,186,True
6a2060297152f5d7,0,1.0,183,True
6a2060297152f5d7,1,1.0,183,True
6a2060297152f5d7,2,1.0,183,True
6a2060297152f5d7,3,1.0,183,True
6a2060297152f5d7,4,1.0,183,True
59a8881b96fb5ada,0,,182,False
59a8881b96fb5ada,1,,182,False
59a8881b96fb5ada,2,,182,False
59a8881b96fb5ada,3,,182,False
59a8881b96fb5ada,4,,182,False
5a5194b943ca7fb0,0,1.0,181,True
5a5194b943ca7fb0,1,1.0,181,True
5a5194b943ca7fb0,2,1.0,181,True
5a5194b943ca7fb0,3,1.0,181,True
5a5194b943ca7fb0,4,1.0,181,True
9cf1065f26518c10,0,1.0,181,True
9cf1065f26518c10,1,1.0,181,True
9cf1065f26518c10,2,1.0,181,True
9cf1065f26518c10,3,1.0,181,True
9cf1065f26518c10,4,1.0,181,True
c595b30162c25e08,0,1.0,178,True
c595b30162c25e08,1,1.0,178,True
c595b30162c25e08,2,1.0,178,True
c595b30162c25e08,3,1.0,178,True
c595b30162c25e08,4,1.0,178,True
5c765713553f954a,0,1.0,175,True
5c765713553f954a,1,1.0,175,True
5c765713553f954a,2,1.0,175,True
5c765713553f954a,3,1.0,175,True
5c765713553f954a,4,1.0,175,True
a3de368c5fdff3c3,0,1.0,175,True
a3de368c5fdff3c3,1,1.0,175,True
a3de368c5fdff3c3,2,1.0,175,True
a3de368c5fdff3c3,3,1.0,175,True
a3de368c5fdff3c3,4,1.0,175,True
07bc49e1c055f3b2,0,,174,False
07bc49e1c055f3b2,1,,174,False
07bc49e1c055f3b2,2,,174,False
07bc49e1c055f3b2,3,,174,False
07bc49e1c055f3b2,4,,174,False
749b3152bc4c62b7,0,,174,False
749b3152bc4c62b7,1,,174,False
749b3152bc4c62b7,2,,174,False
749b3152bc4c62b7,3,,174,False
749b3152bc4c62b7,4,,174,False
68e277f026e4f333,0,,173,False
68e277f026e4f333,1,,173,False
68e277f026e4f333,2,,173,False
68e277f026e4f333,3,,173,False
68e277f026e4f333,4,,173,False
bc0d4043cdbf6ab1,0,1.0,172,True
bc0d4043cdbf6ab1,1,1.0,172,True
bc0d4043cdbf6ab1,2,1.0,172,True
bc0d4043cdbf6ab1,3,1.0,172,True
bc0d4043cdbf6ab1,4,1.0,172,True
25572c9e75be476a,0,1.0,171,True
25572c9e75be476a,1,1.0,171,True
25572c9e75be476a,2,1.0,171,True
25572c9e75be476a,3,1.0,171,True
25572c9e75be476a,4,1.0,171,True
218c9377835c7fdd,0,1.0,170,True
218c9377835c7fdd,1,1.0,170,True
218c9377835c7fdd,2,1.0,170,True
218c9377835c7fdd,3,1.0,170,True
218c9377835c7fdd,4,1.0,170,True
20441710b6474ee5,0,1.0,169,True
20441710b6474ee5,1,1.0,169,True
20441710b6474ee5,2,1.0,169,True
20441710b6474ee5,3,1.0,169,True
20441710b6474ee5,4,1.0,169,True
33c20b0013778993,0,,169,False
33c20b0013778993,1,,169,False
33c20b0013778993,2,,169,False
33c20b0013778993,3,,169,False
