dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
8,0.15,1,ast_identity,2040,10.994353436859232,0.0004901960784313725,1.0,1.0
8,0.15,2,feature,168,7.345264745234648,0.008620689655172414,0.0,0.04259634888438134
8,0.15,2,consequence,529,8.275040038713334,0.009634888438133874,0.2608695652173913,0.13412778904665315
8,0.15,2,ast_identity,3944,11.945443836378228,0.0002535496957403651,1.0,1.0
8,0.15,3,feature,280,8.078733336369028,0.005681818181818182,0.0,0.04679144385026738
8,0.15,3,consequence,1533,9.671840257226105,0.006350267379679145,0.43966079582517936,0.2561831550802139
8,0.15,3,ast_identity,5984,12.54689445988944,0.00016711229946524063,1.0,1.0
8,0.15,4,feature,448,8.713017346584108,0.00423728813559322,0.0,0.05583250249252243
8,0.15,4,consequence,2107,10.267888804545063,0.004735792622133599,0.41813004271476034,0.2625872382851446
8,0.15,4,ast_identity,8024,12.970105890610046,0.0001246261216350947,1.0,1.0
8,0.15,5,feature,616,9.16529306521096,0.0033783783783783786,0.0,0.06120826709062003
8,0.15,5,consequence,2618,10.674304968639932,0.0037758346581875995,0.39228418640183343,0.26013513513513514
8,0.15,5,ast_identity,10064,13.296916206877794,9.936406995230525e-05,1.0,1.0
8,0.15,6,feature,1011,9.660367052205912,0.0028089887640449437,0.05539070227497527,0.0835261070720423
8,0.15,6,consequence,4255,11.310483403684918,0.0031394580304031725,0.5501762632197414,0.35153668208856576
8,0.15,6,ast_identity,12104,13.563196272212977,8.261731658955717e-05,1.0,1.0
8,0.25,1,feature,84,6.383405288183895,0.014705882352941176,0.0,0.041176470588235294
8,0.25,1,consequence,279,7.634353695925038,0.013725490196078431,0.053763440860215055,0.13676470588235295
8,0.25,1,ast_identity,2040,10.994353436859232,0.0004901960784313725,1.0,1.0
8,0.25,2,feature,168,7.345833422321718,0.008620689655172414,0.0,0.04259634888438134
8,0.25,2,consequence,713,8.870081236822294,0.007099391480730223,0.2314165497896213,0.18078093306288032
8,0.25,2,ast_identity,3944,11.945443836378228,0.0002535496957403651,1.0,1.0
8,0.25,3,feature,280,8.077215200993985,0.005681818181818182,0.0,0.04679144385026738
8,0.25,3,consequence,2013,10.232776752667776,0.004679144385026738,0.48484848484848486,0.33639705882352944
8,0.25,3,ast_identity,5984,12.54689445988944,0.00016711229946524063,1.0,1.0
8,0.25,4,feature,448,8.712335343649903,0.00423728813559322,0.0,0.05583250249252243
8,0.25,4,consequence,2852,10.824751201343965,0.003489531405782652,0.48632538569424966,0.35543369890329013
8,0.25,4,ast_identity,8024,12.970105890610046,0.0001246261216350947,1.0,1.0
8,0.25,5,feature,616,9.16347062323616,0.0033783783783783786,0.0,0.06120826709062003
