,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership
M1_original_score,-0.16630901425085817,-0.16630901425085867,-0.19438389955941499,-0.19438389955941326,0.13776820906429288,0.1377682090642935,0.505171342268796,0.505171342268796,0.5051713422687987,-0.7357781006802928,0.7198090488022626,0.4669577876170983,0.5894481312170822,0.4871742296537268,1.0,-0.7357781006802927,0.9900686967555372,-0.1191759354344803,0.9738116574937158,-0.18451661211210005,-0.0005445145473014627,0.505171342268796,0.9900686967555372,-0.1020214291915874,-0.7357781006802927,0.7198090488022626,1.0,0.7566676090374411,-0.7064330144216141,0.7509993217452514,-0.3134036606083998,0.754350905847081,-0.16133605202309811,0.005204060902168176,0.7555485520101294,0.2811871188265854
M2_intervention_score,0.10317392605262997,0.10317392605263112,0.14223616632253813,0.1422361663225383,-0.3025508836568904,-0.3025508836568897,0.038979340058816626,0.038979340058816626,0.03897934005881652,1.0,-0.3028251421912667,0.12156967938147227,-0.05939398050348133,-0.556832141073411,-0.7357781006802927,1.0,-0.7864896970404908,0.07215735382190312,-0.6789852709016009,0.1265334701515955,-0.006731934984639921,0.03897934005881664,-0.7864896970404908,0.026049981231721267,1.0,-0.3028251421912667,-0.7357781006802928,-0.5943027458675336,0.8914044860348181,-0.5943027458675302,0.1315002005306479,-0.5943027458675304,0.04348292891017137,-0.0062047205964423785,-0.5977417441726217,-0.19553696586678382
M3_reuse_score,-0.23789006826907924,-0.23789006826908102,-0.2650281340257049,-0.2650281340257058,0.09378598148836242,0.09378598148836285,0.4474353897755267,0.4474353897755267,0.4474353897755192,-0.7864896970404908,0.7212672715276105,0.41299602485362186,0.5126244595475982,0.5315952420281249,0.9900686967555372,-0.7864896970404908,1.0,-0.1830068270640558,0.9659929988616118,-0.2566774008378196,0.0019049993538903433,0.4474353897755267,1.0,-0.16263979201014403,-0.7864896970404908,0.7212672715276105,0.9900686967555372,0.7399281103242559,-0.7526912831983428,0.740079113072403,-0.3399012722322708,0.739928110324249,-0.20071983478185873,0.006729442359783447,0.7415666062092162,0.245599367954732
M4_compression_score,0.952924409407475,0.9529244094074851,0.8801929713143734,0.880192971314373,0.12403838648559891,0.12403838648559733,-0.17931947701642242,-0.17931947701642242,-0.17931947701642348,0.07215735382190312,-0.2068156575908075,-0.15934097797583677,-0.15132138262389125,-0.12573355138679546,-0.1191759354344803,0.07215735382190312,-0.1830068270640558,1.0,-0.17752265964743982,0.9270562057367636,-0.01050512410918,-0.17931947701642253,-0.18300682706405583,0.8671827742815467,0.07215735382190311,-0.2068156575908075,-0.1191759354344803,-0.09286733445688847,0.1053026264069935,-0.11261248806032728,0.1804059785589792,-0.11121389422136103,0.1795651645315401,-0.008597554067958368,-0.10988869539430611,-0.023035320378468047
M5_perturbation_centrality_score,-0.22441772056617093,-0.2244177205661734,-0.24984333842817671,-0.24984333842817183,0.1560532573312454,0.15605325733124287,0.4230023580115495,0.4230023580115495,0.4230023580115491,-0.6789852709016009,0.7578044980569822,0.5969504286844451,0.5071983468234433,0.3637740701087443,0.9738116574937158,-0.6789852709016009,0.9659929988616118,-0.17752265964743982,1.0,-0.24204323530733962,0.0009207772034980323,0.4230023580115495,0.9659929988616118,-0.15210971418848718,-0.678985270901601,0.7578044980569825,0.9738116574937158,0.6488236474400361,-0.6450746794241591,0.6452941746325521,-0.2687965134886223,0.6488236474400424,-0.13666916145651725,0.007624833409120786,0.6512782708253844,0.23685182448525835
M6_frequency_control_score,0.9815279239608201,0.9815279239608117,0.9875619820542549,0.9875619820542473,0.14449892573854034,0.14449892573853798,-0.2121149714489724,-0.2121149714489724,-0.21211497144896996,0.1265334701515955,-0.2630943234328826,-0.1735118744636759,-0.179741328167307,-0.17168912463977762,-0.18451661211210005,0.1265334701515955,-0.2566774008378196,0.9270562057367636,-0.24204323530733962,1.0,-0.009582529826484183,-0.21211497144897237,-0.2566774008378196,0.7970485841146854,0.1265334701515955,-0.2630943234328826,-0.1845166121121001,-0.1362116410804348,0.15499663605684558,-0.1715538104661849,0.29775209829998744,-0.1677957564206885,0.29815719319537237,-0.0062463793974713985,-0.16464157188194758,-0.012634570674253429
M7_random_matched_score,-0.009850176434306043,-0.009850176434306053,-0.009097914026447643,-0.00909791402644747,-0.005265257444326264,-0.005265257444326239,-0.008497777585991838,-0.008497777585991838,-0.008497777585991899,-0.006731934984639921,0.001474680162531263,-0.0026994490522621113,-0.010902579961685057,0.003938170009902617,-0.0005445145473014627,-0.006731934984639921,0.0019049993538903433,-0.01050512410918,0.0009207772034980323,-0.009582529826484183,1.0,-0.008497777585991835,0.0019049993538903464,-0.008883419796972927,-0.0067319349846399305,0.0014746801625312546,-0.0005445145473014563,0.00027424317259358967,-0.004793517582226014,-0.0001836152089682114,-0.0017570952205828954,-0.0013297130177721385,-0.00214620046655953,0.7566676090374364,-0.0013786278806978698,-0.006153973802130034
expression_depth,-0.21695300052391692,-0.21695300052391897,-0.20228061318861806,-0.2022806131886198,-0.37323459071607246,-0.3732345907160684,1.0,1.0,0.9999999999999991,0.03897934005881664,0.3945058804392115,0.500339812791287,0.9505162558722525,0.34431648490863953,0.505171342268796,0.03897934005881664,0.4474353897755267,-0.17931947701642253,0.4230023580115495,-0.21211497144897237,-0.008497777585991835,1.0,0.4474353897755267,-0.21533856687707725,0.038979340058816626,0.3945058804392115,0.505171342268796,0.6539819288906944,-0.08265147438038256,0.6539819288906911,-0.4875671874272189,0.6539819288906946,-0.3401420742239785,-0.0060530544095302565,0.6468602777232397,0.22389046325020076
reuse_rate,-0.23789006826907924,-0.23789006826908102,-0.2650281340257049,-0.2650281340257058,0.09378598148836242,0.09378598148836285,0.4474353897755267,0.4474353897755267,0.4474353897755192,-0.7864896970404908,0.7212672715276105,0.41299602485362186,0.5126244595475982,0.5315952420281249,0.9900686967555372,-0.7864896970404908,1.0,-0.18300682706405583,0.9659929988616118,-0.2566774008378196,0.0019049993538903464,0.4474353897755267,1.0,-0.16263979201014403,-0.7864896970404908,0.7212672715276105,0.9900686967555372,0.7399281103242559,-0.7526912831983428,0.740079113072403,-0.3399012722322708,0.739928110324249,-0.20071983478185873,0.006729442359783447,0.7415666062092162,0.245599367954732
reuse_count,0.8959187526522995,0.8959187526523203,0.6937813516678502,0.693781351667854,0.2795297869089604,0.27952978690895913,-0.21533856687707725,-0.21533856687707725,-0.21533856687707287,0.026049981231721267,-0.20061254088278332,-0.2028569006004803,-0.1379900146653937,-0.18257028990525265,-0.1020214291915874,0.026049981231721267,-0.16263979201014403,0.8671827742815467,-0.15210971418848718,0.7970485841146854,-0.008883419796972927,-0.21533856687707725,-0.16263979201014403,1.0,0.026049981231721243,-0.20061254088278335,-0.1020214291915874,-0.07948646402532202,0.09911119885654014,-0.11223312409437448,0.20711471824563119,-0.10882715100282987,0.20749023898339752,-0.006945871375128334,-0.10615244780272576,0.0033746861912939074
