depth_cap,observation_depth,sample_budget,horizon,semantic_class_count,semantic_class_rate,trajectory_count,trajectory_rate,state_count,state_rate,normal_form_count,normal_form_rate,label_quotient_count,label_quotient_rate,syntactic_semantic_gap,generated_terms,sample_limited_semantic,sample_limited_trajectory,sample_limited,semantic_saturation_horizon,semantic_axis_verdict,semantic_still_growing_at_max_horizon,observation_limited
12,4,50000,64,1027,0.02054,49998,0.99996,152134,0.10779905248732706,1024,0.02048,49993,0.99986,0.97942,1411274,False,True,True,64,trivial,False,False
12,6,50000,64,1027,0.02054,49998,0.99996,152134,0.10779905248732706,1024,0.02048,49993,0.99986,0.97942,1411274,False,True,True,64,trivial,False,False
12,8,50000,64,1027,0.02054,49998,0.99996,152134,0.10779905248732706,1024,0.02048,49993,0.99986,0.97942,1411274,False,True,True,64,trivial,False,False
12,10,50000,64,1027,0.02054,49998,0.99996,152134,0.10779905248732706,1024,0.02048,49993,0.99986,0.97942,1411274,False,True,True,64,trivial,False,False
12,12,50000,64,1027,0.02054,49998,0.99996,152134,0.10779905248732706,1024,0.02048,49993,0.99986,0.97942,1411274,False,True,True,64,trivial,False,False
12,4,50000,128,1024,0.02048,49996,0.99992,152336,0.1078207102736003,1024,0.02048,49987,0.99974,0.97944,1412864,False,True,True,64,trivial,False,False
12,6,50000,128,1024,0.02048,49996,0.99992,152336,0.1078207102736003,1024,0.02048,49987,0.99974,0.97944,1412864,False,True,True,64,trivial,False,False
12,8,50000,128,1024,0.02048,49996,0.99992,152336,0.1078207102736003,1024,0.02048,49987,0.99974,0.97944,1412864,False,True,True,64,trivial,False,False
12,10,50000,128,1024,0.02048,49996,0.99992,152336,0.1078207102736003,1024,0.02048,49987,0.99974,0.97944,1412864,False,True,True,64,trivial,False,False
12,12,50000,128,1024,0.02048,49996,0.99992,152336,0.1078207102736003,1024,0.02048,49987,0.99974,0.97944,1412864,False,True,True,64,trivial,False,False
12,4,50000,256,1024,0.02048,49999,0.99998,152525,0.1078394565499434,1024,0.02048,49994,0.99988,0.9794999999999999,1414371,False,True,True,64,trivial,False,False
12,6,50000,256,1024,0.02048,49999,0.99998,152525,0.1078394565499434,1024,0.02048,49994,0.99988,0.9794999999999999,1414371,False,True,True,64,trivial,False,False
12,8,50000,256,1024,0.02048,49999,0.99998,152525,0.1078394565499434,1024,0.02048,49994,0.99988,0.9794999999999999,1414371,False,True,True,64,trivial,False,False
12,10,50000,256,1024,0.02048,49999,0.99998,152525,0.1078394565499434,1024,0.02048,49994,0.99988,0.9794999999999999,1414371,False,True,True,64,trivial,False,False
12,12,50000,256,1024,0.02048,49999,0.99998,152525,0.1078394565499434,1024,0.02048,49994,0.99988,0.9794999999999999,1414371,False,True,True,64,trivial,False,False
12,4,100000,16,718,0.00718,99493,0.99493,83246,0.048968235294117646,0,0.0,92757,0.92757,0.98775,1700000,False,True,True,64,trivial,False,False
12,6,100000,16,6644,0.06644,99493,0.99493,83246,0.048968235294117646,0,0.0,92757,0.92757,0.92849,1700000,False,True,True,64,trivial,False,False
12,8,100000,16,16938,0.16938,99493,0.99493,83246,0.048968235294117646,0,0.0,92757,0.92757,0.82555,1700000,False,True,True,64,trivial,False,False
12,10,100000,16,23715,0.23715,99493,0.99493,83246,0.048968235294117646,0,0.0,92757,0.92757,0.75778,1700000,False,True,True,64,trivial,False,False
12,12,100000,16,24604,0.24604,99493,0.99493,83246,0.048968235294117646,0,0.0,92757,0.92757,0.74889,1700000,False,True,True,64,trivial,False,False
12,4,100000,32,1505,0.01505,99975,0.99975,240441,0.08721002352528115,1024,0.01024,99953,0.99953,0.9847,2757034,False,True,True,64,trivial,False,True
12,6,100000,32,3153,0.03153,99975,0.99975,240441,0.08721002352528115,1024,0.01024,99953,0.99953,0.9682200000000001,2757034,False,True,True,64,trivial,False,True
12,8,100000,32,5419,0.05419,99975,0.99975,240441,0.08721002352528115,1024,0.01024,99953,0.99953,0.9455600000000001,2757034,False,True,True,64,trivial,False,True
12,10,100000,32,8113,0.08113,99975,0.99975,240441,0.08721002352528115,1024,0.01024,99953,0.99953,0.91862,2757034,False,True,True,64,trivial,False,True
12,12,100000,32,9963,0.09963,99975,0.99975,240441,0.08721002352528115,1024,0.01024,99953,0.99953,0.90012,2757034,False,True,True,64,trivial,False,True
12,4,100000,64,1030,0.0103,99989,0.99989,249548,0.08832456982351225,1024,0.01024,99969,0.99969,0.98959,2825352,False,True,True,64,trivial,False,False
12,6,100000,64,1030,0.0103,99989,0.99989,249548,0.08832456982351225,1024,0.01024,99969,0.99969,0.98959,2825352,False,True,True,64,trivial,False,False
12,8,100000,64,1030,0.0103,99989,0.99989,249548,0.08832456982351225,1024,0.01024,99969,0.99969,0.98959,2825352,False,True,True,64,trivial,False,False
12,10,100000,64,1030,0.0103,99989,0.99989,249548,0.08832456982351225,1024,0.01024,99969,0.99969,0.98959,2825352,False,True,True,64,trivial,False,False
12,12,100000,64,1030,0.0103,99989,0.99989,249548,0.08832456982351225,1024,0.01024,99969,0.99969,0.98959,2825352,False,True,True,64,trivial,False,False
12,4,100000,128,1024,0.01024,99986,0.99986,248366,0.08788164218216919,1024,0.01024,99962,0.99962,0.9896199999999999,2826142,False,True,True,64,trivial,False,False
12,6,100000,128,1024,0.01024,99986,0.99986,248366,0.08788164218216919,1024,0.01024,99962,0.99962,0.9896199999999999,2826142,False,True,True,64,trivial,False,False
12,8,100000,128,1024,0.01024,99986,0.99986,248366,0.08788164218216919,1024,0.01024,99962,0.99962,0.9896199999999999,2826142,False,True,True,64,trivial,False,False
12,10,100000,128,1024,0.01024,99986,0.99986,248366,0.08788164218216919,1024,0.01024,99962,0.99962,0.9896199999999999,2826142,False,True,True,64,trivial,False,False
12,12,100000,128,1024,0.01024,99986,0.99986,248366,0.08788164218216919,1024,0.01024,99962,0.99962,0.9896199999999999,2826142,False,True,True,64,trivial,False,False
12,4,100000,256,1024,0.01024,99983,0.99983,249289,0.08815792032902427,1024,0.01024,99959,0.99959,0.98959,2827755,False,True,True,64,trivial,False,False
12,6,100000,256,1024,0.01024,99983,0.99983,249289,0.08815792032902427,1024,0.01024,99959,0.99959,0.98959,2827755,False,True,True,64,trivial,False,False
12,8,100000,256,1024,0.01024,99983,0.99983,249289,0.08815792032902427,1024,0.01024,99959,0.99959,0.98959,2827755,False,True,True,64,trivial,False,False
12,10,100000,256,1024,0.01024,99983,0.99983,249289,0.08815792032902427,1024,0.01024,99959,0.99959,0.98959,2827755,False,True,True,64,trivial,False,False
12,12,100000,256,1024,0.01024,99983,0.99983,249289,0.08815792032902427,1024,0.01024,99959,0.99959,0.98959,2827755,False,True,True,64,trivial,False,False
16,4,20000,16,459,0.02295,19980,0.999,29523,0.08683235294117647,0,0.0,19693,0.98465,0.97605,340000,False,True,True,64,saturating,False,False
16,6,20000,16,2475,0.12375,19980,0.999,29523,0.08683235294117647,0,0.0,19693,0.98465,0.87525,340000,False,True,True,64,saturating,False,False
16,8,20000,16,5445,0.27225,19980,0.999,29523,0.08683235294117647,0,0.0,19693,0.98465,0.72675,340000,False,True,True,64,saturating,False,False
16,10,20000,16,7682,0.3841,19980,0.999,29523,0.08683235294117647,0,0.0,19693,0.98465,0.6149,340000,False,True,True,64,saturating,False,False
16,12,20000,16,8005,0.40025,19980,0.999,29523,0.08683235294117647,0,0.0,19693,0.98465,0.59875,340000,False,True,True,64,saturating,False,False
16,4,20000,32,3111,0.15555,20000,1.0,149711,0.22818424714638233,2671,0.13355,20000,1.0,0.84445,656097,False,True,True,64,saturating,False,True
16,6,20000,32,4780,0.239,20000,1.0,149711,0.22818424714638233,2671,0.13355,20000,1.0,0.761,656097,False,True,True,64,saturating,False,True
16,8,20000,32,6956,0.3478,20000,1.0,149711,0.22818424714638233,2671,0.13355,20000,1.0,0.6522,656097,False,True,True,64,saturating,False,True
16,10,20000,32,9490,0.4745,20000,1.0,149711,0.22818424714638233,2671,0.13355,20000,1.0,0.5255000000000001,656097,False,True,True,64,saturating,False,True
16,12,20000,32,13393,0.66965,20000,1.0,149711,0.22818424714638233,2671,0.13355,20000,1.0,0.33035000000000003,656097,False,True,True,64,saturating,False,True
16,4,20000,64,11543,0.57715,20000,1.0,218936,0.27338738578993965,11522,0.5761,20000,1.0,0.42284999999999995,800827,False,True,True,64,saturating,False,False
16,6,20000,64,11552,0.5776,20000,1.0,218936,0.27338738578993965,11522,0.5761,20000,1.0,0.4224,800827,False,True,True,64,saturating,False,False
16,8,20000,64,11557,0.57785,20000,1.0,218936,0.27338738578993965,11522,0.5761,20000,1.0,0.42215,800827,False,True,True,64,saturating,False,False
16,10,20000,64,11558,0.5779,20000,1.0,218936,0.27338738578993965,11522,0.5761,20000,1.0,0.42210000000000003,800827,False,True,True,64,saturating,False,False
16,12,20000,64,11558,0.5779,20000,1.0,218936,0.27338738578993965,11522,0.5761,20000,1.0,0.42210000000000003,800827,False,True,True,64,saturating,False,False
16,4,20000,128,11489,0.57445,20000,1.0,219752,0.2743607670795046,11489,0.57445,20000,1.0,0.42555,800960,False,True,True,64,saturating,False,False
16,6,20000,128,11489,0.57445,20000,1.0,219752,0.2743607670795046,11489,0.57445,20000,1.0,0.42555,800960,False,True,True,64,saturating,False,False
16,8,20000,128,11489,0.57445,20000,1.0,219752,0.2743607670795046,11489,0.57445,20000,1.0,0.42555,800960,False,True,True,64,saturating,False,False
16,10,20000,128,11489,0.57445,20000,1.0,219752,0.2743607670795046,11489,0.57445,20000,1.0,0.42555,800960,False,True,True,64,saturating,False,False
16,12,20000,128,11489,0.57445,20000,1.0,219752,0.2743607670795046,11489,0.57445,20000,1.0,0.42555,800960,False,True,True,64,saturating,False,False
16,4,20000,256,11623,0.58115,20000,1.0,220469,0.27491442786690024,11623,0.58115,20000,1.0,0.41884999999999994,801955,False,True,True,64,saturating,False,False
16,6,20000,256,11623,0.58115,20000,1.0,220469,0.27491442786690024,11623,0.58115,20000,1.0,0.41884999999999994,801955,False,True,True,64,saturating,False,False
