world,policy,delay,t_irrev,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,viable,nontrivial_enforcement_viable
SCAVENGER_CATASTROPHE,neighbor_quarantine,2,7,0.7,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5850763001072958,0.7528833499946836,0.5446332793040309,0.06925007597498506,0.6591111111111111,140.48311730588335,58.24,0,0
SCAVENGER_CATASTROPHE,neighbor_audit_penalty,2,7,0.2,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6233168495466691,0.7529538827928819,0.5546084352328972,0.054072505332916486,0.1288888888888889,26.03233661574338,6.92,0,0
SCAVENGER_CATASTROPHE,neighbor_audit_penalty,2,7,0.45,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6199838192841325,0.752937618250019,0.5532382295605265,0.15672672764358206,0.19244444444444445,38.686402201767685,12.88,0,0
SCAVENGER_CATASTROPHE,neighbor_audit_penalty,2,7,0.7,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6127084299246325,0.7527800657995093,0.5508549831483167,0.21584652606280372,0.2151111111111111,43.1341691384231,17.76,0,0
SCAVENGER_CATASTROPHE,consequence_plus_diversity,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5631433743166098,0.771777279656317,0.6065635998340163,0.4194531345921586,1.672,366.30148422206037,133.32,0,0
SCAVENGER_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.4326573783835796,0.7658719938386166,0.606723166405751,0.4642736159268603,1.804,389.7099928501489,134.04,0,0
SCAVENGER_CATASTROPHE,consequence_plus_diversity,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.36,0.32888888888888884,2.96,0.3777853975723402,0.6395664368408842,0.6130500778040695,0.3799225338384975,1.5377777777777777,315.13831932816544,134.12,0,0
SCAVENGER_CATASTROPHE,diversity_non_adversarial_only,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5718378415431027,0.7193034344153857,0.5802744532645119,0.0,0.0,0.0,0.0,0,0
PURE_CAPTURE,consequence_plus_diversity,1,8,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,8.0,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.5485554781724492,0.6404805429263127,0.6341319255255119,0.5648354106930988,0.0,0.0,192.4,0,0
PURE_CAPTURE,consequence_plus_diversity,2,8,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,4.0,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.33333333333333326,3.0,0.5463043919282011,0.6507261082300686,0.639953588224096,0.5514128214940575,0.0,0.0,186.2,0,0
PURE_CAPTURE,consequence_plus_diversity,4,8,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,2.0,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.5718725846104721,0.6502970771634257,0.6342946146007968,0.5098487153353445,0.0,0.0,188.0,0,0
PURE_CAPTURE,consequence_plus_diversity,7,8,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,1.1428571428571428,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6317807318031354,0.6435180932936647,0.6167976441037364,0.4850221147593265,0.0,0.0,187.24,0,0
PURE_CAPTURE,consequence_plus_diversity,10,8,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,0.8,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6467630028608418,0.6382539130531331,0.6166079366664815,0.46577744038310764,0.0,0.0,184.4,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.45,0.45,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.33702743363258053,0.7696124610883571,0.6019024515750282,0.5173472837716871,2.1964444444444444,498.5889639493026,170.44,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.2222222222222222,2.0,0.390140126472462,0.7671879879553295,0.6096317062915617,0.514615327694913,2.1448888888888886,483.4430935271176,166.76,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.45,0.9,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.408980466112097,0.7662965974719174,0.6131646142210677,0.4945157263880335,2.064888888888889,463.0688664932675,160.16,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.45,0.0,0.0,2,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6909142506338578,0.6480179989302545,0.5536042738732536,0.35723494041620824,0.0,0.0,116.32,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.04,0.33333333333333326,3.0,0.7246988669232036,0.5468358941119021,0.5725624801690653,0.4145371802549901,0.0,0.0,91.56,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.45,0.0,0.0,7,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7036350385115788,0.6507222478699258,0.5598849599247679,0.5653647218210587,0.0,0.0,104.0,0,0
