seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture
9323,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.1126095224512081,0.0,0.7824924880157573,0.19412667360194555,0.3014269315102636,0.6122803939534336,0.47119217981125544,8,6,0.8888888888888888,1.0,1.0,0.9615824403590052,0.8617606266030471,0.0,0.0,0.0,0,0.0
9324,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.21429876777777845,0.0,0.7763183807537348,0.20015392791383715,0.2945200438042742,0.6158607034208283,0.4706015330595166,7,6,0.7777777777777778,1.0,1.0,0.9636303702787232,0.8617606266030471,0.0,0.0,0.0,0,0.0
9300,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627752753896869,0.0,0.08057998468469559,0.8680657850997245,0.34283302943390637,0.45803752217362004,0.6804331500352574,4,6,0.4444444444444444,1.0,1.0,0.9769311075658853,0.88288640926122,0.0,0.0,0.0,0,0.0
9301,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627749820377497,0.0,0.08011868306051148,0.8687223263426125,0.3346518439990202,0.46684763183461886,0.6798487313309411,4,6,0.4444444444444444,1.0,1.0,0.9773529203115761,0.9224123315907709,0.0,0.0,0.0,0,0.0
9302,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627750904447832,0.0,0.08123997245547306,0.8672299210205939,0.3360794672980369,0.4606309865955529,0.6785504190083081,4,6,0.4444444444444444,1.0,1.0,0.9768787332452714,0.9142244915600127,0.0,0.0,0.0,0,0.0
9303,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627755729908551,0.0,0.0809074571919868,0.8676527778379596,0.34015031348410135,0.45590377841261365,0.6791989830896948,4,6,0.4444444444444444,1.0,1.0,0.9756620305382537,0.9238265161146231,0.0,0.0,0.0,0,0.0
9304,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,0.0,0.5627754201540949,0.0,0.08052196921407531,0.8681537051764924,0.34698758206531904,0.4516808031390418,0.6804233565330865,4,6,0.4444444444444444,1.0,1.0,0.9783737320915141,0.9238265161146231,0.0,0.0,0.0,0,1.0
9305,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627755183355707,0.0,0.08047302863108464,0.8682652064039506,0.3332236916951217,0.46874395418356163,0.6793007515808385,4,6,0.4444444444444444,1.0,1.0,0.9767390097949787,0.8599200951318952,0.0,0.0,0.0,0,0.0
9306,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627753618227007,0.0,0.08070910701307416,0.8679012888933398,0.34224996550273584,0.4488336045928609,0.6790982122678787,4,6,0.4444444444444444,1.0,1.0,0.9761428236576986,0.944070954192558,0.0,0.0,0.0,0,0.0
9307,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627752598153966,0.0,0.0801617415489509,0.8686684776646458,0.33541931978893913,0.465355564657737,0.6797962636667065,4,6,0.4444444444444444,1.0,1.0,0.977355623916578,0.9131333498812902,0.0,0.0,0.0,0,0.0
9308,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627752414055809,0.0,0.08048254063215214,0.8682316082866864,0.33524503504995357,0.47218650412647567,0.6803651333228321,4,6,0.4444444444444444,1.0,1.0,0.9768186999192622,0.8896281114491849,0.0,0.0,0.0,0,0.0
9309,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627754769963156,0.0,0.08018914126351082,0.8686068880213628,0.3401166887156075,0.4568117768170697,0.679894896932989,4,6,0.4444444444444444,1.0,1.0,0.9754345420012525,0.952717783001327,0.0,0.0,0.0,0,0.0
9310,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627756847761524,0.0,0.08071745480357086,0.8678979901128715,0.34042365768597715,0.4587551643290219,0.6795044036264135,4,6,0.4444444444444444,1.0,1.0,0.977607402608688,0.9619594450654109,0.0,0.0,0.0,0,0.0
9311,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627748410660621,0.0,0.0801251557632471,0.8687287274610886,0.33535319612686304,0.46574616555023507,0.6800005015365636,4,6,0.4444444444444444,1.0,1.0,0.9761484083732337,0.8977111085197014,0.0,0.0,0.0,0,0.0
9312,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.562775208902903,0.0,0.08081971243381449,0.8677833446096818,0.33866937567161076,0.45935882808925954,0.679360806926185,4,6,0.4444444444444444,1.0,1.0,0.9759464745190694,0.8940323607441911,0.0,0.0,0.0,0,0.0
9313,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627757294105957,0.0,0.0805940730257071,0.8680956435267759,0.33811264723172063,0.4554372327212211,0.6789492453051419,4,6,0.4444444444444444,1.0,1.0,0.9777482233823439,0.9280110037190958,0.0,0.0,0.0,0,0.0
