regime,seed,split,setting,capture_rate,lag,audit_period,horizon_harm,horizon_observation,R,true_permanence_hold,permanence_hold,failure,extinct,captured,time_to_failure,final_min_true_share,final_prod_true_share,final_true_corr_sa,final_corr_sa,corr_start,corr_end,mean_intervention_inside_floor,mean_intervention_outside_floor,mean_true_permanence,mean_corr_sa,capture_events,steps_run
geometric,4123,heldout,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,60,1.0519515595204185e-09,1.0519515584138162e-09,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,0.9815536933869354,0.9935206019985099,0.8360655737704918,-0.016393442622950824,23,61
geometric,4123,heldout,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,85,1.052538978132093e-09,1.0525389770242547e-09,-1.0,-1.0,1.0,-1.0,0.9821902105697796,0.9895058200443088,0.872093023255814,-0.2558139534883721,23,86
geometric,4123,heldout,r05,0.22,4,2,5,6,0.8333333333333334,1,1,0,0,0,120,0.30870114534311993,0.21340474820696587,-1.0,-1.0,0.2,-0.3333333333333333,0.9966827007625888,0.0,1.0,0.05,0,120
geometric,4123,heldout,r06,0.18,3,2,6,5,1.2,1,1,0,0,0,120,0.21852259787014783,0.1707704720902295,-1.0,-1.0,0.2,-0.06666666666666667,0.9825597075427728,0.0,1.0,0.016666666666666663,0,120
geometric,4123,heldout,r07,0.14,2,2,8,4,2.0,1,1,0,0,0,120,0.24584925306699854,0.1854073978333974,0.9999999999999999,0.9999999999999999,0.2,-3.7007434154171884e-18,0.9882391989779055,0.0,1.0,-0.11666666666666665,0,120
geometric,4123,heldout,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,0,0,120,0.07625725475357362,0.0704420858510222,1.0,1.0,-0.06666666666666665,1.0,0.9867504876902453,0.9960668950934087,0.9166666666666666,-0.049999999999999996,0,120
geometric,4123,heldout,r09,0.08,0,2,13,2,6.5,0,0,1,0,0,120,0.12067013016380214,0.10610884985005317,-0.9999999999999998,-0.9999999999999998,0.06666666666666667,-1.0,0.986392884853628,0.9999816224826976,0.9833333333333333,-0.6166666666666667,0,120
geometric,4124,heldout,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,30,1.0439641701311139e-09,1.0439641690412525e-09,1.0,1.0,1.0,1.0,0.9470015106736237,0.9985878508512666,0.9032258064516129,1.0,15,31
geometric,4124,heldout,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,51,1.044644603460454e-09,1.0446446023691717e-09,-1.0,-1.0,1.0,-1.0,0.9751574097283697,0.959757423379672,0.7884615384615384,0.23076923076923078,21,52
geometric,4124,heldout,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,93,1.038839127150949e-09,1.0388391260717622e-09,-1.0,-1.0,1.0,-1.0,0.9911620155736087,0.999285268556668,0.8936170212765957,-0.3617021276595745,24,94
