seed,mode,world,policy,audit_intervention,delay,t_irrev,R,containment_strength,capture_threshold,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9620,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7021417379692765,0.0,0.18933755630533033,0.015531154902079024,0.6443183227720621,0.3556816772278515,0.3825450608059642,0.9929139646345659,0.12464492733484092,0.0,10.537868110496609,1.9330732662422307,1.0995803134668982,0.185071465933939,0.0,1540,0.0,0.0,0.0001430134510858978,9,0,1540,1.0,0.011993613423195283,20683.80552395639,4027.2295116524665,1.0,0.22350412912634068,1.0,1.0,1.0,0.1531388637432107
9621,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7134811449382527,0.0,0.19332852019418856,0.015657837877599525,0.669044565840804,0.3309554341591089,0.4432945857166054,0.9930381633450435,0.1734623038689865,0.0,10.346292736368257,2.1565568597054083,1.1875390606884595,0.1876677133616337,0.0,1554,0.0,0.0,0.00013776632980013652,8,0,1554,1.0,0.012987170945757307,19765.28095204784,4313.277828731407,1.0,0.23490688309450702,1.0,1.0,1.0,0.21201087104974073
9622,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7139388599532903,0.0,0.19183998127770535,0.01612971403550091,0.672945996375917,0.32705400362399323,0.4384199147946034,0.9933607799804363,0.13795660268564205,0.0,11.313100522217349,2.086759933406853,1.2123509765823344,0.19923055832491865,0.0,1583,0.0,0.0,0.0006516218897473407,9,0,1583,1.0,0.013528536389377796,23391.74671018554,3561.3568804770443,1.0,0.23065391476169786,1.0,1.0,1.0,0.22129999137144465
9623,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7055610383541256,0.0,0.19010717795021062,0.015906436561825377,0.6525378297546484,0.3474621702452633,0.4371957762512263,0.9941478599820258,0.1203390751785249,0.0,11.014314574435739,2.08971722520632,1.1662898727319404,0.1992937980643652,0.0,1531,0.0,0.0,1.443494111362726e-06,9,0,1531,1.0,0.01256992537634671,22881.508523137865,3745.3778712830717,1.0,0.2257030481117129,1.0,1.0,1.0,0.17270911846365872
9624,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6989174218625755,0.0,0.1909998030369542,0.01551474069967837,0.6323646834256413,0.3676353165742724,0.40286548071455264,0.9939157035783066,0.13885659492379548,0.0,10.471949892535452,2.0632186210117758,1.2107958886366885,0.1878091527375618,0.0,1437,0.0,0.0,0.00013958984461876845,9,0,1437,1.0,0.011597307806270751,20183.10262628772,4487.202594178399,1.0,0.22825340550240888,1.0,1.0,1.0,0.12467781768030378
9600,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,0.0,0.5258615980510526,0.0,0.16370036786943284,0.08060982586709124,0.2958113800204266,0.704188619976337,0.3617298853817241,0.9962107950280443,0.9862023971965898,0.9618685136899439,0.36791347701772514,1.3332227610630898,0.8971547871255781,0.13290688723077826,0.9810494659502322,389,0.010690563039457372,0.76,0.0032709271353563068,2,106,389,1.0,0.18685802461272719,-3.748841964438748,991.2740838262589,1.0,0.1502550193094907,0.5100196207248735,1.0,1.0,0.0
9601,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,1.0,0.0,0.48687555748111355,0.0,0.1422751337045568,0.0849323036571568,0.24295111107900375,0.7570488889178453,0.3130997081841098,0.996572340592738,0.9812124792034393,0.9292416673975779,0.3630188507910335,1.35957733528688,0.8415962715702808,0.13487128253564798,0.9838392247483595,443,0.009793023179525179,0.82,0.014341626364819456,0,100,443,1.0,0.17226496405696617,-101.34338331335371,1012.5777915997644,1.0,0.089040064552702,0.41888122599828237,1.0,1.0,0.0
9602,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,1.0,0.0,0.4699373055823073,0.0,0.13500505900632861,0.0903511031818861,0.21733066614059818,0.7826693338578166,0.33277032407394036,0.9961013284229373,0.9447087494133444,0.839332277913832,0.40789812360807504,1.3717355552075268,0.8627802746352004,0.1357283457212416,0.9619336278920662,573,0.007113584051370684,0.71,0.005038443910506218,0,65,573,1.0,0.09196298614455962,-2.599144677375161,1217.1945780587475,1.0,0.06826842255776432,0.3747080450699969,1.0,1.0,0.0
9603,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,1.0,0.0,0.4973343271786477,0.0,0.16719835372547207,0.14011925462469585,0.23216465571094916,0.7678353442860895,0.2776115565210696,0.886429608528938,0.960529840501291,0.7424267383287021,0.38557438578085823,1.2575215476052422,0.8033801639378966,0.11483119446928532,0.9885299645975036,480,0.01424059706084919,0.8,0.011508665109879761,1,172,480,1.0,0.16165784426600402,32.51334932627443,1033.3024516622197,1.0,0.1602492646124599,0.4002838891568089,1.0,1.0,0.0
9604,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,0.0,0.5173041381126068,0.0,0.1386315317486064,0.07902006383317156,0.3107258608521916,0.6892741391459944,0.3317989435084614,0.9960704624327121,0.9078946079592751,0.7555890364680516,0.3895257502694067,1.3789780656048891,0.9100503338906654,0.14736727338876757,0.9776835048803616,509,0.008060511481474067,0.69,0.00798270483602649,0,84,509,1.0,0.11629025270254988,108.30183553841536,1218.0233190615252,1.0,0.07862977324998657,0.5357342428486063,1.0,1.0,0.0
9605,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,1.0,0.0,0.49959903332263433,0.0,0.20109493736996406,0.1914688587134035,0.19272109728433803,0.8072789027132029,0.33728780802222214,0.9962357806788413,0.9796170846133558,0.9109062386484634,0.382188165678564,1.3237087091226867,0.8732650958690914,0.12918639286551503,0.9919365645856195,526,0.00911979581488936,0.76,0.010560775762751922,1,86,526,1.0,0.13217493333465127,-8.477704817971823,1111.8820388286451,1.0,0.2570966464538656,0.3322777539385139,1.0,1.0,0.0
9606,governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,4.0,0.62,0.5,1.0,0.0,0.4381264352027502,0.0,0.14740857956439152,0.13225561165286193,0.13528683032162955,0.8647131696763234,0.32779040620892697,0.9968901980600963,0.9816522071200097,0.9656084544461999,0.4118647252024251,1.2871472351314392,0.8385358664205875,0.12733020032854236,0.9835837196615345,628,0.008245154856301198,0.8,0.014266954206941799,0,77,628,1.0,0.10583963644050697,-5.114550310621622,1161.7612855079092,1.0,0.10370705272365832,0.23325315572694752,1.0,1.0,0.0
