class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
4955c64e148a70f2,P(N0 | N3),50,50,1,2,2,50,0.0,0.0,0.07269389430404441,283,P(N0 | N3),P_obs,0.0763358778625954,0.3333333333333333,3.895139878651031e-05,4.0,0.0967562702904973,0.0,3.895139878651031e-05,4.724369232864586,0.0833508614627872,0.1073917095686135,0.498957849522139,True,False,1.0,0.0
333d4ad2334fa474,P(N1 | N3),45,45,1,2,2,45,0.0,0.0,0.06542645244357931,283,P(N1 | N3),P_obs,0.0687022900763358,0.3333333333333333,3.895139878651031e-05,4.0,0.0934981817941366,0.0,3.895139878651031e-05,4.156168068371412,0.0833508614627872,0.0966525386117521,0.6216599625252344,True,False,1.0,0.0
d221d9b5e05b2607,P(N2 | N3),51,51,1,2,2,51,0.0,0.0,0.07414738267613741,284,P(N2 | N3),P_obs,0.0778625954198473,0.3333333333333333,3.895139878651031e-05,4.0,0.0974078879897695,0.0,3.895139878651031e-05,4.833486332109343,0.0833508614627872,0.1095395437599858,0.4976546141235947,True,False,1.0,0.0
bc9c853b1e75c157,P(N1 | do(N0)),334,334,1,2,2,334,1.0,1.0,0.4854749036031858,251,P(N1 | do(N0)),P_do,0.5099236641221374,0.3333333333333333,1.957464823193663e-05,4.0,0.3368115622132739,1.0,1.957464823193663e-05,75.46708105597828,0.3833421419250377,0.7173766199183385,0.537203677109158,True,False,2.0,0.25
a0b2c1117b29c0f8,P(N2 | do(N0)),333,333,1,2,2,333,1.0,1.0,0.4840214152310928,251,P(N2 | do(N0)),P_do,0.5083969465648855,0.3333333333333333,1.957464823193663e-05,4.0,0.3361599445140018,1.0,1.957464823193663e-05,75.09243382274141,0.3833421419250377,0.7152287857269661,0.2342746450601302,True,False,1.0,0.0
a1e49f1c94433d63,P(N3 | do(N0)),339,339,1,2,2,339,1.0,1.0,0.4927423454636508,251,P(N3 | do(N0)),P_do,0.517557251908397,0.3333333333333333,1.957464823193663e-05,4.0,0.3400696507096346,1.0,1.957464823193663e-05,77.3537134283571,0.3833421419250377,0.7281157908751997,0.5365520594098857,True,False,2.0,0.25
38b8e8007fa9161a,P(N0 | do(N1)),48,48,1,2,2,48,1.0,1.0,0.06977722918458107,249,P(N0 | do(N1)),P_do,0.0732824427480916,0.3333333333333333,1.957464823193663e-05,4.0,0.1504489002214401,1.0,1.957464823193663e-05,4.729996058336618,0.3833421419250377,0.103096041185869,0.6248182843659388,True,False,1.0,0.0
5e258fa8c2710ec8,P(N2 | do(N1)),344,344,1,2,2,344,1.0,1.0,0.5000097873241159,251,P(N2 | do(N1)),P_do,0.5251908396946565,0.3333333333333333,1.957464823193663e-05,4.0,0.3433277392059954,1.0,1.957464823193663e-05,79.26267281105991,0.3833421419250377,0.7388549618320611,0.6605574078115255,True,False,1.0,0.5
2f10f682ed11029b,P(N3 | do(N1)),49,49,1,2,2,49,1.0,1.0,0.07123071755667407,249,P(N3 | do(N1)),P_do,0.0748091603053435,0.3333333333333333,1.957464823193663e-05,4.0,0.1511005179207122,1.0,1.957464823193663e-05,4.850485541262049,0.3833421419250377,0.1052438753772412,0.6248182843659388,True,False,1.0,0.0
8f1242e3195a396b,P(N0 | do(N2)),17,17,1,2,2,17,1.0,1.0,0.024719089649697316,250,P(N0 | do(N2)),P_do,0.0259541984732824,0.3333333333333333,1.957464823193663e-05,4.0,0.1302487515440035,1.0,1.957464823193663e-05,1.4369409660107333,0.3833421419250377,0.0365131812533286,0.6248182843659388,,,,
