world,policy,delay,t_irrev,containment_C,containment_duration,concentration_threshold,escrow_rate,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,viable,action_viable
PURE_CATASTROPHE,no_enforcement,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026101637398271024,1.0,0.4394804812148338,0.0,0.0,0.0,65.92841687597947,0.0,0.0,0.0,65.92841687597947,0.0,0.11111111111111112,0.11111111111111112,0.0,0.0,1.7476369381657129,1.7461104693319849,0.0,0,0
PURE_CATASTROPHE,neighbor_penalty,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026107347523473073,1.0,0.4397157532157979,0.0,0.0,0.0,65.90760277408442,0.0,0.0,0.0,65.90760277408442,0.0,0.1111111111111111,0.0,0.0,0.0,1.7477296887472464,1.7462037375193362,0.0,0,0
PURE_CATASTROPHE,neighbor_quarantine,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026107539949877457,1.0,0.4397304636003155,0.0,0.0,0.0,65.90700532602277,0.0,0.0,0.0,65.90700532602277,0.0,0.1111111111111111,0.0,0.0,0.0,1.7477338888297502,1.74620798759444,0.0,0,0
PURE_CATASTROPHE,action_containment_extraction_cap,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023325139015193886,1.0,0.4237523669152597,0.014698651560736378,0.08888888888888889,14.0,65.05622308813466,56.0,0.0,0.0,65.05622308813466,0.0,0.13481988742680423,0.16497012258662472,0.0,0.0,1.744852306975062,1.7433059513885787,18.300317236566112,0,0
PURE_CATASTROPHE,action_containment_extraction_cap,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023479540984372566,1.0,0.42444809474589257,0.022076612103609762,0.08888888888888889,14.0,64.24844402479069,56.0,0.0,0.0,64.24844402479069,0.0,0.1348214746942031,0.16498030813985853,0.0,0.0,1.745316572568337,1.7437757998133434,18.278050456075956,0,0
PURE_CATASTROPHE,action_containment_extraction_cap,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023683998363379696,1.0,0.4253671452890543,0.031138452916106677,0.08888888888888889,14.0,63.46891571543651,56.0,0.0,0.0,63.46891571543651,0.0,0.13482353698053193,0.16499386351760978,0.0,0.0,1.745933841741015,1.744400510497824,18.248988420094474,0,0
PURE_CATASTROPHE,action_containment_influence_throttle,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023143341760634564,1.0,0.42293161781082333,0.009080426635918133,0.08888888888888889,14.0,66.29454468404272,0.0,0.0,56.0,66.29454468404272,0.0,0.1348179971736352,0.16495819351514393,0.0,0.0,1.744308331506465,1.742755451367144,18.326829744766457,0,0
PURE_CATASTROPHE,action_containment_influence_throttle,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023143341760634564,1.0,0.42293161781082333,0.01207069981319155,0.08888888888888889,14.0,66.29454468404272,0.0,0.0,56.0,66.29454468404272,0.0,0.1348179971736352,0.16495819351514393,0.0,0.0,1.744308331506465,1.742755451367144,18.326829744766457,0,0
PURE_CATASTROPHE,action_containment_influence_throttle,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023143341760634564,1.0,0.42293161781082333,0.015783257578468914,0.08888888888888889,14.0,66.29454468404272,0.0,0.0,56.0,66.29454468404272,0.0,0.1348179971736352,0.16495819351514393,0.0,0.0,1.744308331506465,1.742755451367144,18.326829744766457,0,0
PURE_CATASTROPHE,action_containment_anti_concentration,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.024150323226382876,1.0,0.4278652348172589,0.006940481067521658,0.06355555555555555,10.68,66.31473030669635,0.0,0.0,0.0,66.31473030669635,0.0,0.1271995077051779,0.16949036230918776,0.0,0.0,1.7449795181293308,1.7434241193545452,13.435543533123358,0,0
