seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,containment_C,containment_duration,concentration_threshold,escrow_rate,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss
9420,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00023988979378633746,0.0,0.818496037925774,0.15857027221163134,0.32646764968821856,0.6174967466029712,0.47442213383112125,9,6,1.0,1.0,1.0,0.9479002767642115,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,59.011994736919426,0,0.0,0,59.011994736919426,0.0,0.2311243991756979,0.2740664078496097,0,0,2.6802582078881763,2.684416148748905,0.0
9421,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2364516460017055,0.0,0.7705573779081996,0.20589289877889766,0.29359630852149665,0.6048832244334235,0.4674019408993603,6,6,0.6666666666666666,1.0,1.0,0.967302262326591,0.8789863463619216,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63.79389888773252,0,0.0,0,63.79389888773252,0.0,0.19004949785625674,0.24140496111122345,0,0,2.2105877847266004,2.214532182375531,0.0
9422,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.20138090007398393,0.0,0.7841709602292363,0.19256287557604687,0.3017782072156171,0.6038410134885326,0.4723436553914618,7,6,0.7777777777777778,1.0,1.0,0.9582709040427418,0.8541968157423399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61.92187592044816,0,0.0,0,61.92187592044816,0.0,0.20338886470255588,0.25283269162161603,0,0,2.387275293491115,2.3912907710176095,0.0
9423,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.22178508932764768,0.0,0.77518709445081,0.2013743892174588,0.29460358381425567,0.6158849730023085,0.4717683439113135,6,6,0.6666666666666666,1.0,1.0,0.9629253870032503,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63.87280816907908,0,0.0,0,63.87280816907908,0.0,0.19937998783405025,0.24943193847972356,0,0,2.246711549127726,2.250696563817828,0.0
9424,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.07813039321106258,0.0,0.8000688278752452,0.1766395441602625,0.3114755051334106,0.6264802722332351,0.47484682143468504,8,6,0.8888888888888888,1.0,1.0,0.9584260459708158,0.8904916363322298,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60.71014573579241,0,0.0,0,60.71014573579241,0.0,0.20842041016267296,0.25722284681004237,0,0,2.4577051504882492,2.461815580638589,0.0
9400,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627754296784045,0.0,0.0805499006201522,0.8681410300708683,0.34063570724448117,0.4580464069983925,0.6799583773811205,4,6,0.4444444444444444,1.0,1.0,0.9777631554213027,0.9310415499988801,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.51184563955208,0,0.0,0,65.51184563955208,0.0,0.1958581934896951,0.19790437298499206,0,0,2.272177027327448,2.273643638657726,0.0
9401,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627758977801545,0.0,0.08087375672899468,0.8676847433389449,0.34164415993738756,0.4584901170748281,0.6792895464709275,4,6,0.4444444444444444,1.0,1.0,0.9794572023102446,0.9204477719031463,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.47848558154296,0,0.0,0,65.47848558154296,0.0,0.1958581755728164,0.19790436380746393,0,0,2.2697587447686276,2.2713084785361666,0.0
9402,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.562774568461891,0.0,0.08016328105749589,0.8686692187151158,0.33366277461014876,0.4704489498843254,0.6804572051253186,4,6,0.4444444444444444,1.0,1.0,0.9757803909260341,0.9142244915600127,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.59546299612741,0,0.0,0,65.59546299612741,0.0,0.19585822834108527,0.1979043908368494,0,0,2.2741135083891604,2.2755313701289372,0.0
9403,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627754033171324,0.0,0.08070036931538208,0.8679446228166909,0.33953424241373803,0.4548389943843574,0.6789935414092935,4,6,0.4444444444444444,1.0,1.0,0.9767801663085555,0.9204477719031463,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.520354514333,0,0.0,0,65.520354514333,0.0,0.19585819545021757,0.19790437398922686,0,0,2.2732976059813086,2.2747532659066994,0.0
9404,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627752375794899,0.0,0.08083918112448356,0.8677451669924156,0.3381340360498179,0.4601175348866847,0.6796312512287851,4,6,0.4444444444444444,1.0,1.0,0.9780101728604185,0.9084264491492303,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.54182047452397,0,0.0,0,65.54182047452397,0.0,0.19585820195170286,0.1979043773194701,0,0,2.2692649967894525,2.27078354478219,0.0
