class_id,k,persistence,class_size
90cefc9b766e431f,3,0.0,216
90cefc9b766e431f,4,0.0,216
a74053cd9fbcdf58,0,1.0,216
a74053cd9fbcdf58,1,0.0,216
a74053cd9fbcdf58,2,0.0,216
a74053cd9fbcdf58,3,0.0,216
a74053cd9fbcdf58,4,0.0,216
1459edfd8986a239,0,1.0,215
1459edfd8986a239,1,1.0,215
1459edfd8986a239,2,0.0,215
1459edfd8986a239,3,0.0,215
1459edfd8986a239,4,0.0,215
3dbce805a0b141a8,0,1.0,215
3dbce805a0b141a8,1,0.0,215
3dbce805a0b141a8,2,0.0,215
3dbce805a0b141a8,3,0.0,215
3dbce805a0b141a8,4,0.0,215
54905406f96b37ba,0,1.0,215
54905406f96b37ba,1,1.0,215
54905406f96b37ba,2,1.0,215
54905406f96b37ba,3,1.0,215
54905406f96b37ba,4,1.0,215
952059cd0404cb5f,0,1.0,215
952059cd0404cb5f,1,0.0,215
952059cd0404cb5f,2,0.0,215
952059cd0404cb5f,3,0.0,215
952059cd0404cb5f,4,0.0,215
cb760f4a09447a8f,0,1.0,215
cb760f4a09447a8f,1,1.0,215
cb760f4a09447a8f,2,1.0,215
cb760f4a09447a8f,3,1.0,215
cb760f4a09447a8f,4,1.0,215
b3993b8e57f8a169,0,1.0,214
b3993b8e57f8a169,1,0.0,214
b3993b8e57f8a169,2,0.0,214
b3993b8e57f8a169,3,0.0,214
b3993b8e57f8a169,4,0.0,214
3e1359b0723bcff4,0,1.0,213
3e1359b0723bcff4,1,0.5,213
3e1359b0723bcff4,2,0.5,213
3e1359b0723bcff4,3,0.5,213
3e1359b0723bcff4,4,0.5,213
deb58f5ea5753fb1,0,1.0,213
deb58f5ea5753fb1,1,0.0,213
deb58f5ea5753fb1,2,0.0,213
deb58f5ea5753fb1,3,0.0,213
deb58f5ea5753fb1,4,0.0,213
1d67abcf23151a94,0,1.0,212
1d67abcf23151a94,1,1.0,212
1d67abcf23151a94,2,0.5,212
1d67abcf23151a94,3,0.5,212
1d67abcf23151a94,4,0.5,212
23d692927ea19a6c,0,1.0,212
23d692927ea19a6c,1,0.0,212
23d692927ea19a6c,2,0.0,212
23d692927ea19a6c,3,0.0,212
23d692927ea19a6c,4,0.0,212
3cdaebde575c5b37,0,1.0,212
3cdaebde575c5b37,1,0.0,212
3cdaebde575c5b37,2,0.0,212
3cdaebde575c5b37,3,0.0,212
3cdaebde575c5b37,4,0.0,212
6820c5d670a6d1b8,0,1.0,212
6820c5d670a6d1b8,1,0.0,212
6820c5d670a6d1b8,2,0.0,212
6820c5d670a6d1b8,3,0.0,212
6820c5d670a6d1b8,4,0.0,212
ee1b864a704f7369,0,1.0,211
ee1b864a704f7369,1,1.0,211
ee1b864a704f7369,2,1.0,211
ee1b864a704f7369,3,1.0,211
ee1b864a704f7369,4,1.0,211
50435e826defda84,0,1.0,209
50435e826defda84,1,0.0,209
50435e826defda84,2,0.0,209
50435e826defda84,3,0.0,209
50435e826defda84,4,0.0,209
ea9ccc8c09fa75d7,0,1.0,207
ea9ccc8c09fa75d7,1,1.0,207
ea9ccc8c09fa75d7,2,1.0,207
ea9ccc8c09fa75d7,3,1.0,207
ea9ccc8c09fa75d7,4,0.5,207
cb94e7d7e1f7d083,0,1.0,206
cb94e7d7e1f7d083,1,0.5,206
cb94e7d7e1f7d083,2,0.0,206
cb94e7d7e1f7d083,3,0.0,206
cb94e7d7e1f7d083,4,0.0,206
5a84018b7ada0f76,0,1.0,205
5a84018b7ada0f76,1,1.0,205
5a84018b7ada0f76,2,0.0,205
5a84018b7ada0f76,3,0.0,205
5a84018b7ada0f76,4,0.0,205
5af5480f52cf5615,0,1.0,204
5af5480f52cf5615,1,1.0,204
5af5480f52cf5615,2,0.5,204
