cell_id,experiment,policy,n_heldout,permanence_successes,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,dove_extinction_probability,hawk_extinction_probability,mutant_extinction_probability,scavenger_extinction_probability,resource_hhi_mean,mean_welfare_final,min_zone_welfare_mean,geometric_welfare_mean,recovery_time_mean,adversarial_share_mean,mutation_survival_mean,diversity_mean,false_positive_punishment_mean,false_negative_aid_to_hawk_mean,scavenger_exploitation_mean,signal_truth_corr_mean,mutual_information_mean,audit_cost_share_mean,collapse_step_mean,population_final_mean,train_permanence_probability,delay,t_irrev,R,adversarial_strength,catastrophe_severity,catastrophe_frequency,diversity_floor,mutation_rate,scavenger_enabled,future_shock,audit_p,audit_C,audit_kappa,viable
A_011_local_global_d1_a0.85_s0.00_v0.00,A,local_global,15,5,0.3333333333333333,0.15176100694691236,0.5828687484878701,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03799091065312326,0.022885817886637128,0.19333215512925822,0.0,0.0,0.014732712442683402,0.8888981539771739,0.0,0.0,140.0,2555.6207061987434,0.5,1,8,8.0,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_012_feature_proxy_d3_a0.25_s0.00_v0.00,A,feature_proxy,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01365982205115033,0.031703476855124334,0.1518377499512284,0.0,0.0,0.0021593460219249305,0.3537021443379774,0.0,0.0,140.0,2514.076150165291,0.0,3,8,2.6666666666666665,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_013_scalar_welfare_d3_a0.25_s0.00_v0.00,A,scalar_welfare,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013796281302226371,0.03162695449999476,0.15091708403471038,0.0,0.0,0.002212883074933269,0.3996026181359859,0.0,0.0,140.0,2514.2343446835603,0.0,3,8,2.6666666666666665,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_014_response_to_aid_d3_a0.25_s0.00_v0.00,A,response_to_aid,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013763166207767538,0.03164257493490596,0.15206876195038585,0.0,0.0,0.0022006094196601834,0.39016961450921045,0.0,0.0,140.0,2514.187789742876,0.0,3,8,2.6666666666666665,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_015_local_global_d3_a0.25_s0.00_v0.00,A,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01374878520924752,0.031644058262816806,0.1520296393346543,0.0,0.0,0.002196555634964502,0.3878789898809564,0.0,0.0,140.0,2514.153802033521,0.0,3,8,2.6666666666666665,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_016_feature_proxy_d3_a0.55_s0.00_v0.00,A,feature_proxy,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.022443719921744362,0.028302061468145713,0.16852060792985785,0.0,0.0,0.006541248783708781,0.7218371885126682,0.0,0.0,140.0,2528.332231772321,0.0,3,8,2.6666666666666665,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_017_scalar_welfare_d3_a0.55_s0.00_v0.00,A,scalar_welfare,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.022790310405691072,0.028124067213126044,0.16703822759801026,0.0,0.0,0.006698250261762648,0.7673397124784332,0.0,0.0,140.0,2528.7832492239277,0.0,3,8,2.6666666666666665,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_018_response_to_aid_d3_a0.55_s0.00_v0.00,A,response_to_aid,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.022488921075949186,0.028154905066703213,0.16839704860617274,0.0,0.0,0.0065783593579700084,0.740924725888777,0.0,0.0,140.0,2528.0603413416025,0.0,3,8,2.6666666666666665,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_019_local_global_d3_a0.55_s0.00_v0.00,A,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.022404867595936195,0.028173509575937315,0.16821735353208533,0.0,0.0,0.0065539652873209935,0.7377826953961597,0.0,0.0,140.0,2527.8860427122977,0.0,3,8,2.6666666666666665,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_020_feature_proxy_d3_a0.85_s0.00_v0.00,A,feature_proxy,15,6,0.4,0.19824228082594664,0.642535572434923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03913714967777035,0.023040361165675007,0.19567395610267194,0.0,0.0,0.015050627958056569,0.8937236305711659,0.0,0.0,140.0,2559.168001746193,0.5,3,8,2.6666666666666665,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
