cell_id,split,seed,experiment,policy,delay,t_irrev,R,adversarial_strength,camouflage_cost,audit_p,audit_C,audit_kappa,catastrophe_frequency,catastrophe_severity,mutation_rate,migration_cost,migration_speed,diversity_floor,channel_reliability,scavenger_enabled,future_shock,permanence,collapse,capture,dove_extinct,hawk_extinct,mutant_extinct,scavenger_extinct,resource_hhi,mean_welfare_final,min_zone_welfare,geometric_welfare,recovery_time,adversarial_share,dove_share,mutation_survival,diversity,false_positive_punishment,false_negative_aid_to_hawk,scavenger_exploitation,signal_truth_corr,mutual_information,audit_cost_share,collapse_step,population_final
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9110,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01370361179513847,0.950534942433642,0.0357614457708234,0.16212786591946024,0.0,0.0,0.0021959443610494755,0.33826878193454535,0.0,0.0,140,2524.8940284660775
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9111,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01574029907844498,0.9518226836465227,0.032437017274635785,0.1597601423683549,0.0,0.0,0.0025181208137903775,0.4088400746020946,0.0,0.0,140,2521.4780454742067
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9112,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013100105371987601,0.9572993348594765,0.02960055976813694,0.1452846533285078,0.0,0.0,0.0020867054827697993,0.37185297217245894,0.0,0.0,140,2507.0528230872974
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9113,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012596753940165548,0.9595213716007096,0.02788187445872512,0.13904628438889202,0.0,0.0,0.0019253754862887538,0.3055567919230949,0.0,0.0,140,2501.247049865362
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9114,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014324024440571627,0.9559138607731387,0.02976211478589146,0.14894315850831558,0.0,0.0,0.002242644858104952,0.3361187802881186,0.0,0.0,140,2510.6864734212927
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8100,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0162341926896229,0.9564001019623917,0.027365705347586866,0.1468188189345399,0.0,0.0,0.0025516948709358436,0.44440515689921717,0.0,0.0,140,2509.410021051439
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8101,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014089165475879762,0.9507404811622105,0.035170353361513564,0.16077044124520756,0.0,0.0,0.0023164216718366028,0.43382033443568196,0.0,0.0,140,2524.34817655521
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8102,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013335085204617363,0.9576239312757151,0.029040983519268482,0.14336717616544328,0.0,0.0,0.0022167615229601837,0.39987900305847845,0.0,0.0,140,2506.203031916549
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8103,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014602404087738042,0.9520947544256938,0.03330284148617151,0.15797217457790305,0.0,0.0,0.002312996489779244,0.4101400185085817,0.0,0.0,140,2520.7575074255446
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,train,8104,A,scalar_welfare,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014102319775110632,0.9536633532909659,0.03223432693352616,0.15398041211698751,0.0,0.0,0.0022560247780626214,0.3789699095277977,0.0,0.0,140,2516.6113301061264
