class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
9255006dc40fdc78,representation_only,224,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,224,"P(N0 | do(N2), do(N3))"
a91cd87936d8548d,representation_only,223,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,223,"P(N1 | do(N0), do(N3))"
d622539aadbdefcc,representation_only,223,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,223,P(N5 | do(N3))
ac3d178dae40cba0,representation_only,220,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,220,"P(N2 | do(N3), do(N0))"
57fa86a7b4840e85,representation_only,217,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,217,P(N4 | do(N0))
5e5220eb2a7fab00,representation_only,217,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,217,"P(N3 | do(N2), do(N1))"
d201c023f52bc1c3,representation_only,217,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,217,"P(N0 | do(N3), do(N2))"
5ea08d3f215b4b00,representation_only,216,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,216,P(N4 | do(N2))
90cefc9b766e431f,representation_only,216,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,216,"P(N2 | do(N0), N3)"
a74053cd9fbcdf58,representation_only,216,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,216,"P(N2 | do(N1), N0)"
1459edfd8986a239,representation_only,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,215,P(N3 | N1)
3dbce805a0b141a8,representation_only,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,215,"P(N0 | do(N2), do(N1))"
54905406f96b37ba,representation_only,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,215,"P(N1 | do(N2), do(N0))"
952059cd0404cb5f,representation_only,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,215,"P(N3 | do(N0), do(N2))"
cb760f4a09447a8f,representation_only,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,215,P(N1 | do(N5))
b3993b8e57f8a169,representation_only,214,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,214,"P(N3 | do(N0), do(N1))"
3e1359b0723bcff4,representation_only,213,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,213,P(N3 | do(N5))
deb58f5ea5753fb1,representation_only,213,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,213,"P(N1 | do(N0), N2)"
1d67abcf23151a94,representation_only,212,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,212,"P(N3 | do(N1), do(N0))"
23d692927ea19a6c,representation_only,212,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,212,"P(N0 | do(N1), do(N3))"
3cdaebde575c5b37,representation_only,212,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,212,"P(N2 | do(N0), N1)"
6820c5d670a6d1b8,representation_only,212,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,212,"P(N2 | do(N0), do(N3))"
ee1b864a704f7369,representation_only,211,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,211,"P(N2 | do(N3), do(N1))"
50435e826defda84,representation_only,209,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,209,"P(N1 | do(N2), do(N3))"
ea9ccc8c09fa75d7,representation_only,207,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,207,P(N1 | N3)
cb94e7d7e1f7d083,representation_only,206,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,206,"P(N0 | do(N2), N3)"
5a84018b7ada0f76,representation_only,205,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,205,"P(N1 | do(N0), N3)"
5af5480f52cf5615,representation_only,204,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,204,"P(N0 | do(N3), N1)"
3d44c118bbff65e9,representation_only,203,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,203,"P(N0 | do(N1), do(N2))"
