class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
06dfbbfb6d453364,theory_change,163,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,103,"Ancestor(N4, N6) || Effect(N4 -> N6) || Reachable(N4, N6)"
76f1e10c1ce66b59,theory_change,162,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,162,P(N1 | N5)
cb0f642a6861499d,theory_change,162,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,97,"Blocked(N1, N3 | N0) || Independent(N1, N3 | N0)"
e4cf54dbc3cdf299,theory_change,162,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,99,"Ancestor(N6, N5) || Effect(N6 -> N5) || Reachable(N6, N5)"
276ad787af6a299e,theory_change,161,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,107,"Ancestor(N7, N2) || Effect(N7 -> N2) || Reachable(N7, N2)"
8229ab2f44578101,theory_change,161,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,95,"Blocked(N3, N1 | N0) || Independent(N3, N1 | N0)"
069dc362cc83fb7a,theory_change,160,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,160,P(N4 | N3)
141c19060cd9bcd7,theory_change,159,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,159,P(N4 | N1)
2c3ab647caa1215c,theory_change,159,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,103,"Ancestor(N6, N3) || Effect(N6 -> N3) || Reachable(N6, N3)"
4d776f2e423c4353,theory_change,159,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,159,P(N5 | N3)
c98e7ce7bea5dc46,theory_change,159,4,True,2.0,0.625,1.0,0.5,0.5,0.5,2,3,99,"Blocked(N1, N2 | N3) || Independent(N1, N2 | N3)"
d0778f255b2af544,theory_change,159,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,159,P(N4 | N5)
