system,horizon,shape,count,fraction
A_dead_control,4,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) -> add(_,mul(_,_)) -> mul(_,_) :: mul_succ;mul_succ;add_zero;add_zero",121,0.00605
A_dead_control,4,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> add(_,add(_,mul(s(_),_))) -> add(_,mul(s(_),_)) -> mul(s(_),_) :: mul_succ;mul_succ;add_zero;add_zero",119,0.00595
A_dead_control,4,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> add(_,add(_,mul(s(_),_))) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) :: mul_succ;mul_succ;add_zero;mul_succ",107,0.00535
A_dead_control,4,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) -> add(_,add(_,_)) -> add(_,_) :: mul_succ;mul_succ;mul_zero;add_zero",106,0.0053
A_dead_control,4,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) -> add(_,mul(_,_)) -> add(_,_) :: mul_succ;mul_succ;add_zero;mul_zero",97,0.00485
A_dead_control,4,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> add(_,add(_,mul(s(_),_))) -> add(_,add(_,add(_,mul(_,_)))) -> add(_,add(_,mul(_,_))) :: mul_succ;mul_succ;mul_succ;add_zero",95,0.00475
A_dead_control,4,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> s(add(s(_),mul(s(_),s(s(_))))) -> s(s(add(_,mul(s(_),s(s(_)))))) -> s(s(mul(s(_),s(s(_))))) :: mul_succ;add_succ;add_succ;add_zero",87,0.00435
A_dead_control,4,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) -> s(s(add(s(_),mul(s(s(_)),s(s(s(_))))))) -> s(s(add(s(_),add(s(s(s(_))),mul(s(_),s(s(s(_)))))))) :: mul_succ;add_succ;add_succ;mul_succ",85,0.00425
A_dead_control,4,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> s(add(s(_),mul(s(_),s(s(_))))) -> s(s(add(_,mul(s(_),s(s(_)))))) -> s(s(add(_,add(s(s(_)),mul(_,s(s(_))))))) :: mul_succ;add_succ;add_succ;mul_succ",83,0.00415
A_dead_control,4,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> s(add(s(s(_)),mul(s(_),s(s(s(_)))))) -> s(s(add(s(_),mul(s(_),s(s(s(_))))))) -> s(s(s(add(_,mul(s(_),s(s(s(_)))))))) :: mul_succ;add_succ;add_succ;add_succ",78,0.0039
